Course,Job_Titles
Bachelor of Science  Informatics,"ASP.NET Developer,  Mobile Developer,  Vb.Net Developer,  Senior Delphi Developer,  Systems Analyst, Shipping Controller & Developer,  Entrepreneur"
Bachelor of Science  Informatics,Business Analyst/Project Manager
Bachelor of Science  Informatics,"Developer,  Systems Analyst/ Databases,  Systems Analyst/ Databases, Computer Technician"
Bachelor of Science  Informatics,"junior software developer,  Intermediate Developer"
Bachelor of Science  Information Science,"Integration Specialist,  Integration Consultant,  Integration Developer,  Systems Integration Specialist, C# .NET Developer,  C# .NET Developer,  C# Web Developer"
Bachelor of Science  Information Systems,"Java Developer Project Consultant,  Java Developer,  Junior Java Developer,  Instructor"
Bachelor of Science  Information Systems,"Software Developer,  Software Engineer,  Software Engineer, Software Tester,  Developer,  Junior Developer"
Bachelor of Science  Information Systems,"Software Development manager,  Technical Team Leader,  Senior Java Developer, Production Manager,  Java Developer,  Java Developer,  Java Developer,  Project Consultant,  Project Consultant,  Freelance Technician,  Support Technician"
Bachelor of Science  Information Tech./Computer Science(Suma Cum L),"Senior Software developer, Software Engineer,  Tutuor,  General Retail Administrator Developer"
Bachelor of Science  Information Technology,"Software Developer,  .NET Developer,  Team Lead,  Solutions Architect,  Senior Software Engineer, Computer Operations and Card Monitoring Clerk,  Promotional Sales Marketing and Demonstrations"
Bachelor of Science  Information Technology,"SQL Developer,  Business Analyst,  Business Analyst"
Bachelor of Science  Information Technology,Teacher
Bachelor of Science  Information Technology Degree,"SAP Developer,  SAP Specialist,  SAP Analyst"
Bachelor of Science  Information Technology Management,"Principal Integration Developer,  Integration Executive,  Integration Executive, Integration Developer,  Remote Desktop Support Consultant,  Call Center Agent"
Bachelor of Science  Information Technology Management,"Project Manager,  IT Manager,  Functional / Implementation Consultant,  IT Manager,  Functional / Implementation Consultant, Senior Systems Analyst,  Systems Analyst,  Analyst Programmer,  Senior Programmer,  Computer Programmer,  Dbase Iv Programmer Autocad Developer,  Dbase Iv Programmer"
Bachelor of Science  Information Technology management,"Systems Administrator,  Admin Clerk,  Junior Software Tester"
Bachelor of Science  IT,"Microsoft CRM Developer,  C# Developer,  Dot NET Developer"
Bachelor of Science  It (Distinction In Computer Science),Sales Assistant Driver Technician
Bachelor of Science  It Management,"Owner,  Full Time IT Trainer,  Officer 2ic 504 Squadron"
Bachelor of Science  It Management,"Senior Developer/Team Leader,  Developer,  Developer,  Developer,  Developer, Junior Web Developer,  In-Service Trainee,  Junior Data Capturer"
Bachelor of Science  It Management,"SNR Programmer JNR DBA,  JNR Programmer"
Bachelor of Science  IT Software Engineering,".NET Developer,  Software Engineer C#"
Bachelor of Science  Majoring In Computer Science & Informatics,"Software Developer,  Technical Support, Technical Specialist,  Service Consultant,  Internal Short-Term Insurance Sales Consultant,  Casual"
Bachelor of Science  Mathematical Modelling,Analyst
Bachelor of Science  Mathematics and Computer Science,"SAS Developer,  SAS Programmer,  BI Developer, Sas Developer,  Sas Developer,  Consultant - Analytical Services,  Training and Development Manager"
Bachelor of Science  Mathematics with Computer Sciences,"Integration Developer,  Integration Architects,  Integration Lead"
Bachelor of Science  Microbiology and Biochemistry,"Food Safety Manager,  Food and beverage business developer,  Scientist,  Quality Assurance Manager, Senior Food Technologist,  Head of laboratory and Product Developer,  Laboratory technician,  Quality controller,  Laboratory assistant"
Bachelor of Science  Scientific Computing,Junior C# Developer
Bachelor of Science  Software Engineering,"Senior Developer,  Junior Developer"
Bachelor of Science  Software Engineering,systems engineer
Bachelor of Science  Software Systems Engineering,"Database Architect,  Head of Department (IT),  Freelance Developer, Programmer Developer,  Freelance Developer Programmer,  Business Analyst,  Freelance Developer Programmer Consultant"
Bachelor Of Science (Bachelor of Science ),Software Support
Bachelor of Science (Computer Science),"Software Development,  IT Project Manager, IT Project Manager,  Software Developer"
Bachelor of Science (Computer Science),"Software Programmer,  Electronic Document Scanning and Filing,  Research"
Bachelor Of Science (Computer Science),"Systems Analyst,  Analyst Programmer,  Assistant Lan Administrator,  Lab Assistant"
Bachelor of Science (Honors) Computer Science,"BI\\ SQL Developer, Junior Lecturer,  Student Assistant"
Bachelor of Science (Hons) Advanced Mathematics Of Finance(Hybrid Computer Science),"Quantitative Analyst,  Quantitative Developer,  Market Risk Manager,  Market Risk Analyst,  Credit Risk Analyst,  System Developer,  Java Developer"
Bachelor of Science (Hons) Computing,"MS SQL DBA,  SQL DEVELOPER"
Bachelor of Science (Information Technology),"Lead Developer,  Web application developer,  Project manager,  Web application developer,  Project manager, Software Developer,  IT Support Technician,  Promoter"
Bachelor of Science (Informationsystems),Junior Developer
Bachelor of Science (It),"J2EE developer,  Web Developer or C#,  web developer,  .net developer"
Bachelor of Science .,"Analyst Programmer,  Programmer,  Programmer,  Analyst Programmer,  Programmer"
Bachelor of Science . (Honours) Information Systems,"Software Architect,  Enterprise Architect, Consultant Developer,  Consultant Developer,  Consultant Project Manager,  Consultant Developer Team Leader,  Consultant Developer"
Bachelor of Science . (Information Technology),"Systems Engineer,  Integration Engineer,  Application Administrator, Data Warehouse Developer"
Bachelor of Science . Agric Animal Science And Agricultural Econo,"IT Consultant,  Developer IT Consultant,  Jonior Developer,  Second Lieutenant,  Temporary Farm Manager,  Temporary Farm Manager"
Bachelor of Science . Elec Eng (Wits),"Program manager,  Software Development Manager,  Technical Project Manager (IT),  Project Manager IT,  Manager Software Development,  Business Analyst IT,  Release Manager,  Project manager, Technical Project Manager,  Senior Software Developer,  Software Developer"
Bachelor of Science . Hons Computer Science,"Android Developer,  PHP Developer,  Senior PHP Developer,  Full Stack Developer, IT Lead,  IT Manager,  Intern"
Bachelor of Science . Informatica (NQF 7),"IT Solutions/Enterprise Data Architect, Enterprise Data Architect,  Data Warehouse Architect,  Lead Data Warehouse Architect Developer,  Systems Analyst Data Architect,  Manager Systems and Support,  Independent Estate Liquidator"
Bachelor of Science . Psychology,"Senior Manager,  Executive,  Fund Developer,  Social Developer, CEO,  Manager"
Bachelor of Science ..Information Technology,"Web Developer,  Software developer"
Bachelor of Science .Computer Science And Statistics,"Senior Developer, Lead Deveoper,  Senior Developer,  Team Leader,  Open Source Web Developer,  Lead Programer,  Programmer,  Intern,  Senior Lab Administrator"
Bachelor of Science .Eng Chemical Engineering,"Dinning Hall Monitor and Floor Representative,  Receptionist"
Bachelor of Science : IT Industrial and Mining,"Director IT,  CIO,  Chief Technology Officer,  Senior Manager IT,  Executive Director, Developer,  Field Support Technician,  Student Helpdesk Technician,  Student Helpdesk Technician,  Computer Lab Assistant"
Bachelor of Science Chemical Engineering,"Software Developer, Analyst Programmer,  Analyst Programmer"
Bachelor of Science Computer Sc,"Database developer,  DBA,  Developer"
Bachelor of Science Computer Science,"Analyst Programmer,  Systems analyst,  Systems analyst, Cobol Developer,  Programmer,  Technical Support Agent,  Sales Representative"
Bachelor of Science Computer Science,"Business Analyst,  Sytsem analysis,  architecure,  project management"
Bachelor of Science Computer Science,Business Systems Analyst
Bachelor of Science Computer Science,"c# Developer, Head of Department Computer Studies,  Teacher"
Bachelor of Science Computer Science,"Developer,  Systems Administrator,  Systems Administrator, Cashier,  Sales Person"
Bachelor of Science Computer Science,Front-end developer
Bachelor of Science Computer Science,"ICT Coordinator, Software Developer,  Systems Administrator Database Developer"
Bachelor of Science Computer Science,"IT Consultant,  IT Specialist,  JNR Developer"
Bachelor of Science Computer Science,"IT Manager,  Systems Analyst,  Business Analyst,  Solutions Architect,  Business Systems Analyst,  Implementation Analyst,  Implementation Manager,  Implementation Specialist,  Systems Developer,  Business Analyst, Analyst Developer,  Imports Customer Service Agent Csa,  Visa Consultant,  Sales Consultant,  Sales Consultant"
Bachelor of Science Computer Science,"Jr. Software Developer (Part Time),  Mobile/Web Developer(Part Time),  Intern (Part Time)"
Bachelor of Science Computer Science,"PHP Developer,  iOS Developer,  Android Developer,  Python Developer,  Programmer,  Database Designer"
Bachelor of Science Computer Science,"software developer,  data analyst,  system analyst,  business analyst"
Bachelor of Science Computer Science,"Software Developer,  Software Development Systems Analyst 2016,  C# Software Engineer,  PHP Developer,  Scrum Master, Store Manager,  Floor Sales Manager,  Trainee Manager Learnership,  Claims Negotiator,  Reseacher Network Administrator"
Bachelor of Science Computer Science,"Software Engineer,  Java Software Engineer"
Bachelor of Science Computer Science,"System Analyst,  Software developer,  Software developer,  Business analyst"
Bachelor of Science Computer Science,"System Analyst,  Team Lead,  Software Development Manager,  System Analyst, Computer Lab Assistant Mentor Tutor"
Bachelor of Science Computer Science,System Developer
Bachelor of Science Computer Science,Web Developer
Bachelor of Science Computer Science & Information Systems,"IT Manager,  Chief Information Officer, IT Manager"
Bachelor of Science ConsumerScience (Food),"Waiter,  Food Product Developer,  Career,  Stock Controller"
Bachelor Of Science Honours,"Mobile Environmental Teacher,  Volunteer Field Worker,  Volunteer Assistant,  Data Capture and Database Management Fieldworker,  Surveyor of Public Opinions,  Holiday Club Presenter,  Practical Demonstrator,  au Pair"
Bachelor of Science Honours Degree in Computer Science,"Programmer,  Help Desk,  Clerk Admin,  Database Admin"
Bachelor Of Science Honours Degree Information Sys,"Java Technical Lead,  Java Developer,  Development Manager Software,  C#.Net Developer or SQL BI Developer,  Analyst developer, C#.NET Software Developer,  BI State Accountant Financial Analyst,  Systems Developer Analyst,  Team Leader Systems Analyst"
Bachelor of Science Honours in Computing,"Junior Developer,  Developer,  Junior Programmer,  Junior Data Analyst,  Programmer,  Administrator,  Admin Clerk, Data Capturer,  Admin Assistant,  Shop Assistant Cashier,  Telemarketer,  Opc Surveyer"
Bachelor of Science hons(Awarded By London Metropolitan University),"Waitron,  Life Guard"
Bachelor of Science in Civil Engineering,"Structural Engineer, Engineer in training"
Bachelor Of Science In Computer Science,Waiter
Bachelor Of Science In Computer Systems,Executive Trainee Internship Program
Bachelor Of Science In Information Technology,"Oracle SOA Developer,  Senior SOA consultant,  team leader, Developer"
Bachelor of Science in Information Technology,"PHP Developer,  BI Analyst,  SQL Database Administrator,  BI Developer,  BI Consultant,  PHP Web Developer"
Bachelor of Science in information technology,"Web developer,  programmer,  recpetionist admin,  sales or marketting,  office job"
Bachelor of Science in statistics,"Analyst,  Data Analyst,  Test Analyst,  Test Management, Academic and Research Assistant,  Assistant Statistical Officer"
Bachelor of Science in Technology(Degree),"system developer,  Software Developer,  IT Technician,  Systems Analyst,  Web Developer,  Web Designer,  C#.NET Developer,  Java Developer,  IT Lecturing,  project management"
Bachelor of Science Informatics,"Business Analyst,  Applications Developer"
Bachelor Of Science Informatics,"Software Developer,  Senior C#.NET Developer,  Data Analyst,  Business Analyst, Mis Analyst"
Bachelor of Science Information Systems,"Analyst Programmer,  Web Developer,  Web Applications Developer,  PHP Developer,  Front-End Developer,  .NET Developer,  ASP .NET Developer,  Junior Java Developer"
Bachelor Of Science Information Technology,"C# Developer,  .NET Developer,  SQL and C#, Head Technician"
Bachelor Of Science Information Technology,"Development Manager,  Technical Team Lead\\Architect,  Solution Architect,  IT Manager,  Technical Team Lead\\Architect, Principle Consultant Technology,  System Architect,  Analyst Programmer,  Technical Lead,  Application Developer,  Software Developer"
Bachelor of Science Information Technology,"Junior Java Developer,  Junior Developer,  Database Developer,  Java Web Developer,  Web Developer"
Bachelor of Science is(Bachelor Of Science Information Systems),"Developer,  Production Support,  Dev-Opps, Devopps Engineer,  Systems Support Engineer,  Developer,  .NET Developer,  Developer,  Developer,  Systems Developer,  Systems Developer"
Bachelor of Science It Management,"Programmer,  Software Developer"
Bachelor of Science(Computer Science Honours),"IT Consultant,  SAP Intern,  SAP CRM Consultant,  Business Analyst,  Data Analyst,  Microsoft Developer,  Database Admin"
Bachelor of Science(Computers),"Java Developer,  Intermediate Java Developer,  Senior Java Developer"
Bachelor of Science. (Honours) Computer Science,".Net Developer,  Programmer,  C# Developer,  ASP.NET Web Developer,  Programmer,  C# Developer, Software Developer,  Programmer"
Bachelor of Science. Applied Mathematics and Computer Science,Java Developer
Bachelor of Science. Computer Science,"C#.NET Developer,  SQL Developer, MSSQL Developer Analyst Programmer,  Junior MSSQL Developer Junior Analyst Programmer"
Bachelor of Science. Computer Science,"Senior Oracle Developer Specialist,  Analyst Developer,  Developer,  Programmer,  Programmer and Systems Analyst,  Programmer"
Bachelor of Scienceience,Junior Programmer to Analyst Programmer
Bachelor Of Social Sciences,"Project Coordinator, Researcher,  Researcher,  Customer Service,  Researcher,  Book Seller,  Administrator,  Sales Representative,  Research and Administrative Assistant"
Bachelor of Technologies,"Documentum Developer,  Document Management Consultant, Software Developer"
Bachelor Of Technology,"Data Architecture / Business Intelligence Architect,  Senior software developer, Analyst Developer BI Developer,  Analyst Developer,  Senior Developer,  Software Developer and Team Leader,  Software Developer,  Java Developer,  Junior Software Developer,  Network Administrator"
Bachelor of technology,"Dynamic CRM Developer,  CRM consultant"
Bachelor of Technology,ETL Developer
Bachelor of Technology,"Qa test analyst,  Automation test analyst,  Software Tester,  HTML5 Developer,  Front-End Developer,  Database Administrator,  SQL Database Administrator,  Systems Analyst,  System tester/analyst,  Performance & Automation Engineer, Test Analyst,  UX Developer,  Web Administrator & Training Administrative System,  Linux System Administrator,  COMPUTER  LAB ASSISTANT"
Bachelor Of Technology,"Senior .NET Developer,  ASP.NET Analyst Developer,  asp.net mvc"
Bachelor of Technology,"SharePoint Developer, .NET Developer"
Bachelor of Technology,Solution analyst
Bachelor of Technology,"Team Lead,  Senior .NET Developer"
Bachelor of Technology Business Administration,SharePoint Administration
Bachelor of Technology Computer Systems,"Project Manager,  Business Analyst,  Account Manager,  Business Analyst,  Account Manager"
Bachelor of Technology in Business Information Technology,"Xamarin android and IOS,  C# developer,  Java developer,  Oracle SQL,  PHP developer,  Business Analysis,  Business Intelligence"
Bachelor of Technology in Electrical Engineering,"Electronic Engineer,  Embedded Engineer,  Electronics Technician,  Electronic, Junior Electronics Systems Developer,  P2 Trainee,  P1 Trainee"
Bachelor of Technology in ICT,"IT Support Technician, System Developer learner"
Bachelor of Technology in Informatics,"Test Analyst,  BI Analyst,  Sales Manager,  Data Analyst,  Tester,  SQL Database Administrator"
Bachelor Of Technology In Information Technology,"Process Consultant,  Organisational Management Analyst,  Software Developer Analyst,  Lab Technician,  Trainee Analyst Programmer"
Bachelor of Technology in IT (Business Applications),Data Capturer
Bachelor of Technology Information Technology,Functional Specialist
Bachelor of Technology Information Technology,"Java Developer, Junior Programmer,  Bursary Holder"
Bachelor of Technology Information Technology,"System Developer,  System Engineer,  Database Administrator,  System Engineer,  Database Administrator, Software Developer,  Web Developer,  Web Developer"
Bachelor of Technology Software Developemny,Test Analyst
Bachelor of Technology Software Development (Nqf7),"Food Stall Clerk,  Clover Deliveries,  Vifro Clerk,  Vifro Clerk"
Bachelor Of Technology(Computer Science),"SharePoint Consultant,  Senior .Net Developer,  C# Developer,  Silverlight Developer,  ASP.Net Developer,  C# Developer,  Silverlight Developer,  Share point Consultant,  ASP.Net Developer, .NET Developer,  .NET Developer,  Software Engineer,  Software Engineer"
Bachelor of Technology(It),".Net / SharePoint Developer,  C#,  VB"
Bachelor of Technology: Information Technology,"Mobile Developer,  Web Developer,  FullStack Developer,  Android,  JS Engineer, Mobile Developer,  Software Developer Programmer,  Software Developer Programmer"
Bachelor of Technology: Software Development,"ETL Developer,  Developer,  SAP Consultant, Programmer,  Technical Trainer"
Bachelor Social Science,"Manager,  Senior Manager,  Branch Manager,  Sales Manager,  Business Development Executive,  Business Development Manager,  Operations Manager,  Warehouse Manager,  Marketing Manager,  Senior Manager, Tank Container Marketing Manager,  Port Operations Manager,  Container Controller,  Tank Controller,  Tracking M&R Clerk,  Volunteer Co-Ordinator,  Assistant Planner,  Part Time Manager"
Bachelor\u2019s Degree,"C#,  Software Architect,  Software Development Team Lead,  Development Team Leader,  Development Team Lead,  Senior Application Solution Architect, Junior .NET Developer"
Bachelors Degree,"Business Analyst,  Technology Consultant,  Pre Sales Consultant"
Bachelors degree Computer Engineering,"ETL Developer,  BI Specialist,  Data Warehouse Analyst"
Bachelors Degree Computer Science,"IT Specialist,  System Administrator,  Webmaster,  IT Technician, Network Technician,  Junior Web Developer,  Computer Technician,  Computer Technician,  Bank Teller,  Sales Executive"
Bachelors Degree In Arts (History And Philosophy),"Web Developer, East African Correspondent,  Editor Designer"
Bachelors Degree in Computer Science of Engineering,Tibco BW Developer
Bachelors degree in information systems,"web Developer, IT Intern"
"Bachelors Degree in Software Development""]","Systems Analyst,  Systems Engineer,  Senior Developer,  C# Software Developer, Student Assistant"
Bachelors Degree of Computing,"Software Developer,  Software Engineer,  Junior C# Developer"
Bachelors in Business Informatics,"Team Leader,  BA,  Project Manager,  Key Accounts Manager,  IT Manager,  Solutions Manager,  Accounts Manager,  Team Leader,  Project Manager, Support Specialist,  Field Engineer,  Site Manager,  IT Technician"
Bachelors in Computing with Honors,"Manager,  Project Manager,  Senior Software Engineer,  Team Lead,  Analyst,  Business Analyst,  Research Specialist, Software Developer,  Software Dveloper"
BAchelors of Science Honours,"data analyst,  business analayst,  BI Specialist,  BI Developer Benefits"
Bachelors Science General Computer Science,"php, web developer,  Programmer Graphic Designer"
Backup Academy Certified Professional,"Virtualization Engineer,  Infrastructure Engineer,  Systems Engineer,  Solutions Architect,  Data Architect,  Microsoft Engineer,  Infrastructure Consultant,  IT Engineer,  IT Engineer,  Systems Engineer, Comptia N+ Part-Time Trainer,  Systems Engineer,  Comptia A+ Part-Time Trainer,  IT Support Administrator,  IT Lecturer & Trainer,  Application Developer"
Banking Compliance Studies,"Fire Detection & Security Solution Sales Engineer,  Project Administrator Facilitator,  Project Manager Community Developer Facilitator,  Sales Manager Route Development Freight Forwarding,  Route Development Manager Far East and Europe,  National Sales and Marketing Manager,  Key Accounts Manager Sales Executive,  Key Accounts Manager Sales Executive"
Basic Animal Behavior,"Marketing Manager,  Human Resources Manager,  Human Resources Manager, Human Resources Consultant"
Bba (Bachelors Business Administration),Developer Programmer
BCA,"Java Developer, Developer,  Junior Java Developer"
Bechlors Degree In Commerce,"Oracle Applications Consultant,  Functional and Technical Consultant for Oracle App,  Oracle Applications Consultant"
Bed Honours,"Lecturing,  Trainer and Facilitator,  Dairy Farm Manager,  Teacher"
Beng Aeronautical And Aerospace,"DBA,  Application Developer/ Analyst,  Application Developer/ Analyst, Market Data Analyst"
Bing Computer Engineering,"Software Developer, Harware Engineer,  IT Technician"
BIS (HONS) Information Science,"System analyst,  Database developer,  Test analyst,  Web developer,  Web designer"
Bis Information Science,Junior Manager
Bit600 Sap Webflow Concepts,"ABAP Developer,  ABAP Developer,  Senior ABAP Developer,  Junior ABAP Developer,  Manager,  Estate Agent,  Teller"
Bmc Atrium Discovery And Dependency Mapping 8.1,"Technical Project Manager,  Lead Consultant,  Lead Consultant, Teaching Assistant Ta"
Bodywork Certificate,"DTP Operator,  DTP Operator,  Project Support Secretary,  Marketing Secretary,  Training Developer"
BS Software Engineering,"Software Developer,  Software Engineer,  Software Development Team Lead, Software Support Team Lead,  Software Support Specialist,  Interface Support Specialist"
BSocSci,"C# & PHP Developer,  PHP Developer,  PHP Developer"
BTEC Higher National Diploma Information Technology,"IT administrator,  Networking,  System Analysis"
BTEC HND in Information Systems: Software Development,"Web Developer,  C# Developer,  Asp .NET Developer,  UX Analyst,  UX Researcher,  Junior Java Developer,  C# ASP.NET Developer,  Junior C# Developer, Web Developer Intern"
B-tech degree in financial information systems,Qlickview consultant
Busines  Objects Administartion And Authorisations,"SAP Netweaver Copnsultant,  SAP Basis Consultant,  SAP Basis Consultant, SAP Basis Administrator,  SAP Basis Administrator,  SAP ABAP Developer,  Junoir Systems Administrator"
Busines Information Systems,"Business Analyst,  System Analyst,  Project Manager,  System Analyst,  Project Manager"
Business Administration,"Administration officer, Merchandising,  Security Officer"
Business Administration,"Business Development,  Sales,  Sales,  Sales,  Sales"
Business Administration,"Change Consultant,  Change Manager,  Change Consultant,  Functionality Developer,  Messaging Analyst"
Business Administration And Management,"Web Designer and Developer,  Graphic Designer"
Business Administration And Secretarial       Proc,"legal secretary,  sales person or consultant,  sales person or consultant"
Business analysis,"Business Analyst,  Business process developer"
Business Analysis,"Business consultant,  Senoir business analyst,  Senoir business analyst, Developer and Systems Analyst"
Business Analysis,"Senior Developer,  Systems Analyst,  Analyst Developer,  Systems Analyst,  Analyst Developer, Web Developer,  Web Developer,  Web Developer,  Web Developer,  Lab Assistant,  Baker"
Business Analysis,"Technical Business Analyst,  Systems Analyst,  Analyst Developer, Python Developer Analyst Developer,  Data Manager,  Data Manager,  Data Programmer,  Insurance and Customer Service Agent"
Business Analysis Diploma,"Senior Business Analyst,  Business Analyst Manager, Business Analyst,  Business Analyst,  Software Developer"
Business Analysis Diploma,"Systems Analyst,  Documentum Developer, National Call Centre Interim Team Leader,  Call Centre Agent,  Desktop Assistant"
Business Analysis Essentials,"Training Specilaist,  Training Specialist, Customer Program Specialist,  Learning Designer,  Skills Development Adviser,  Lecturer,  Draftsperson Contract,  Draftsperson,  Lecturer,  Curriculum Developer"
Business Analyst,"Business development manager, Sales and Marketing Director,  Mid West Regional Sales Director,  Sales Consultant,  Junior Sales Consultant"
Business Focused Project Management,"Operations/Delivery Manager/Lead, Software Engineer,  Site Manager,  Web Developer Programmer,  Assistant Manager"
Business Information Systems,"Sofware,  Software Developer,  Junior Software Developer,  Graphic Design,  IT Admin,  IT Support,  Software Support,  Software Programmer,  Admin Work"
Business Information Technology,Web and Mobile Developer
Business Intelligence Academy,"Technical Team Leader,  Computer Programmer,  Computer Programming"
Business Management,"Online Manager/ Webmaster,  Technology Specialist,  Senior Front End Developer,  Technology Specialist,  Senior Front End Developer, E-Marketing Developer,  Website Manager,  Web Developer and E-Marketing Manager,  Joomla Web Developer,  Web Developer Designer SEO,  Web Developer Designer SEO,  Web Developer Designer SEO,  Senior Business Development Manager"
Business Management,"SNR Sales Secretary,  Sales & Marketing Coordinator,  Office Assistant,  Hostess Waitress Bar Lady"
Business Management Certificate,"Personal Assistant,  Administrator,  Business manager"
Business Objects Designer / Supervisor,"Support Technician,  Computer & Office Automation Salesperson,  Technician Developer,  Architectural CAD Designer,  Technician"
Business Systems Analysis,"Business Information Analyst,  I T Manager,  Systems Analyst,  Business Analyst IT,  I T Manager,  Systems Analyst, Merchant Business Developer,  Sales Consultant,  Teller"
Business Systems Analyst Short Course,"Business System Analyst,  Business Analyst IT, Software Engineer,  Supervisor,  .NET Developer"
Businessanalyst Diploma,"Business Analyst,  Developer,  Designer,  Business Analyst"
C# Advanced,"C# Developer,  ASP.NET Developer,  Software Developer, Software Developer"
C#. Net,"Developer, Systems Developer,  Lecturer"
CA(SA),Waiter Barman
CCNA Routing and Switching,"Junior Developer,  System Engineer,  Junior Designer,  Networking,  Network Engineer,  Network Cabling Technician, Web Design,  SAP ABAP Developer,  Java Developer"
Ccnp,"Network Consultant,  Software Developer,  Network Administrator"
C-Dac,"J2EE Developer,  Tech Lead,  Team Leader,  Principal Software Engineer,  Programmer"
C-Dac ,"Solution architect,  Oracle Fusion Middleware,  Integration Architect,  Oracle SOA suite, SOA/ OFM/ Integration Developer,  Integration Developer,  Senior J2ee Developer / Solution Architect,  J2EE Developer"
Certificate,"Data Analyst,  Information Analyst,  Marketing Information Analyst,  Professional Officer,  Developer"
Certificate,"Junior Developers,  Hr Administrator,  specialist"
Certificate,"Senior Web Developer, Intern Student"
Certificate - Full Stack Web Development Specialization,"Senior Graphic Designer/Web Designer,  Front-End Developer,  Senior Front End Developer,  Wordpress Developer, Senior Graphic Designer,  Senior Graphic Designer,  Graphic Designer,  Senior Designer,  Senior Designer,  Graphic Designer,  the Quill Newspaper,  Mid Senior Designer DTP Operator"
Certificate 2 In Make-Up Artistry,"Business Analysis,  Project Manager,  Marketing,  Business Analysis,  Project Developer,  Sales Assistant at Enhance Fashions,  Sales Assistant at Thornile Newsagency"
Certificate Course In Business & Systems Analysis,Cashier
Certificate in Advanced Project Management,"IT Project Manager, Project manager / Business analyst ? systems developer,  Senior Micro Focus Consultant"
Certificate in Bioentrepreneurship,"Executive,  Senior Manager, Mis Analyst,  Senior Consultant,  Consultant,  Web Developer,  Senior Programmer"
Certificate In Business And Systems Analysis,JNR. Software Developer
Certificate In Customer Service,"IT Developer and SAP Support(Internship),  Web Designer,  Developer"
Certificate in Data Science,"Senior Oracle Developer,  system analyst,  data analyst,  team leader, Team leader,  System analyst,  Data analyst,  Software engineer,  Programmer"
Certificate in End-user Technology specializing in Business,IBM BPM
Certificate In Financial Management,"C#, Systems Developer,  SQL Reporting,  Software Developer"
certificate in fleet management,"tracking installation technician,  WordPress developer,  jnr php developer"
Certificate in Fundamental Accounting,"Business Analyst IT,  Configuration Administrator,  SAP Analyst"
Certificate in information Systems,IT Technician
Certificate in internet Marketing,Marketing coordinator
Certificate In Marketing Managment,"Senior Technician,  Electronic Technician,  TV Repair Technician,  Junior Installation Technician"
Certificate In Project Management,"Client Service and Communications,  Recruitment Consultant,  Activity Management Mega Hip Call Centre in & Out,  Information Administrator,  Dispatch Administrator Call Centre in & Outbound,  Call Centre Consultant and Team Leader,  Position Data Capturer Data Controller,  Beauty Adviser"
Certificate In Project Management,"Customer Support Consultant,  Student Trainee,  Data Capturer"
Certificate In Project Management,"Technical Manager and Developer,  Store Manager,  Apprentice"
Certificate In Smme  Management (With Distinction),"Software Developer,  Software Architect,  Solutions Architect, Software Engineer,  Programmer"
Certificate In Visual Basic Programming,Programmer
Certificate in Web Design,"Graphic Designer,  Photographer,  Photo Editor,  Photo Lab Assistant,  Photography Assistant,  Graphic Artist,  Graphic Design,  Graphic Designer and Photographer,  Packaging Designer,  Gallery Manager, Merchandise Assistant"
Certificate in Web Development and Graphic Design,"Web Designer,  Graphic Designing"
Certificate Of Competency,Enterprise Architect
certificate of Information Technology,"graduate programmes,  internships,  learnership"
Certificated Computer Technician,"Statistical Analyst,  Mis Analyst Systems Support,  Research Surveys Field Worker,  Merchandiser,  Window Dresser"
Certification,"SAP,  Service Delivery, Security Developer,  SAP HR Business Analyst HR Talent Management,  Business Analyst SAP Security,  IT SECURITY TRAINEE / BUSINESS ANALYST,  General Ledger Manager,  SAP Security Profile Administrator,  Accounts Payable Administrator,  Accounts and Billing Clerk"
Certification In Cio Practice,"Enterprise Architect,  IT Architect,  IT Architect, Senior Business Analyst,  Channel Manager of the Entermediaryzone,  Product Development Manager,  Senior Lead Developer,  Software Developer Contractor,  Analyst Programmer,  Junior Developer"
Certified Business Analysis Professional (Cbap),"Business Analyst,  Business Intelligence,  Data Architect,  Business Intelligence,  Software Developer, Business Analyst,  Technical Consultant,  Accounting Support Consultant,  Junior Business Analyst,  Quality Control Engineer,  Junior Business Analyst,  Quality Control Engineer,  Support Consultant"
Certified Business Analysis Professional(CBAP),"Business Analyst,  Project Manager,  Business Developer,  Project Manager,  Business Developer, Senior Business Systems Analyst,  Business Analyst,  Dev Coordinator Project Manager Business Developer,  Lead Developer Project Analyst,  Programmer Developer Analyst"
CERTIFIED JAVA SE6 DEVELOPER,"Software Developer,  Scrum Master"
Certified Kanban Coach,Scrum Master
certified Netweaver 7.3 development associate,"sap po,  sap pi,  sap intergration"
Certified Product Owner,"Operations Manager,  Training Manager,  Product Owner,  Product Manager,  Skills Development Facilitator,  Training Manager, IT Operator,  Operations Manager,  Learnership Project Co-Ordinator,  Business Development Manager,  IT Lecturer,  Web Developer"
Certified Scrum Master,"Scrum Master,  C# Developer,  Application Developer, Software Developer,  Application Developer,  Software Developer,  Software Developer"
Certified Scrum Master,"Senior C# Developer, Software Developer,  Junior Web Developer,  Student Developer"
Certified ScrumMaster (CSM),"BI Consultant,  BI Architect, BI Developer,  BI Consultant,  BI Specialist,  Senior Business Process Analyst"
Certified User Analyst,"Web Designer,  user experience,  UX,  UI,  Designer"
Certified Web Developer,"Software Development Systems Analyst 2016,  Software Tester"
