University,Course
St. Pauls University,Diploma in Public Relations
St. Pauls University,Diploma in Social Work
St. Pauls University,Diploma in Theology
St. Pauls University,Certificate in Business Management
St. Pauls University,Certificate in Business Information Technology
St. Pauls University,Certificate in Communication
St. Pauls University,Certificate in Community Development and Social Work
St. Pauls University,Certificate in Criminology and Security Management
St. Pauls University,Certificate in Music
St. Pauls University,Certificate in Higher Education Instructional Design and Teaching
St. Pauls University,Certificate in Information Technology
St. Pauls University,Certificate in Theology
St. Pauls University,Cisco Networking Academy Courses
St. Pauls University,Certified Public Accountants
Strathmore University,Bachelor of Commerce
Strathmore University,Bachelor of Tourism Management
Strathmore University,Bachelor of Science in Hospitality and Hotel Management
Strathmore University,Bachelor of Business Science: Financial Engineering
Strathmore University,Bachelor of Business Science: Financial Economics
Strathmore University,Bachelor of Business Science: Actuarial Science
Strathmore University,Bachelor of Science in Informatics and Computer Science
Strathmore University,Bachelor of Business Information Technology
Strathmore University,Bachelor of Science in Telecommunications
Strathmore University,Bachelor of Laws
Strathmore University,Bachelor of Arts in Communication (Journalism and Public Relations / Journalism and Development Communication)
Strathmore University,Bachelor of Arts in International Studies
Strathmore University,Bachelor of Arts in Development Studies and Philosophy
Strathmore University,Bachelor of Science in Electrical and Electronics Engineering
Strathmore University,Electrical and Electronics Engineering Programme
Strathmore University,Master of Science: Computer-Based Information Systems (MSc CIS)
Strathmore University,Master of Science: Information Technology (MSc.IT)
Strathmore University,Master of Science in Statistical Science
Strathmore University,Master of Science in Mathematical Finance
Strathmore University,Master of Science in Biomathematics
Strathmore University,Master of Applied Philosophy and Ethics (MAPE)
Strathmore University,Master of Science in Education Management (MSc.EM)
Strathmore University,Master of Commerce (MCOM)
Strathmore University,CPA: Certified Public Accountants
Strathmore University,ACCA: Association of Chartered Certified Accountants
Strathmore University,CFA: Chartered Financial Analyst
Strathmore University,Certified Information Systems Auditor (CISA?)
Strathmore University,Certified Information Security Manager (CISM)
Strathmore University,Chartered Institute of Marketing (CIM)
Strathmore University,Diploma in Business Creation and Entrepreneurship
Strathmore University,Diploma in Tourism Management
Strathmore University,Diploma in Journalism and New Media
Strathmore University,Diploma in Procurement
Strathmore University,Diploma in International Studies
Strathmore University,Diploma in Business Management
Strathmore University,Diploma in Business Information Technology
Strathmore University,Bachelor of Commerce
Strathmore University,Bachelor of Tourism Management
Strathmore University,Bachelor of Science in Hospitality and Hotel Management
Strathmore University,Bachelor of Business Science: Financial Engineering
Strathmore University,Bachelor of Business Science: Financial Economics
Strathmore University,Bachelor of Business Science: Actuarial Science
Strathmore University,Bachelor of Science in Informatics and Computer Science
Strathmore University,Bachelor of Business Information Technology
Strathmore University,Bachelor of Science in Telecommunications
Strathmore University,Bachelor of Laws
Strathmore University,Bachelor of Arts in Communication (Journalism and Public Relations / Journalism and Development Communication)
Strathmore University,Bachelor of Arts in International Studies
Strathmore University,Bachelor of Arts in Development Studies and Philosophy
Strathmore University,Bachelor of Science in Electrical and Electronics Engineering
Strathmore University,Electrical and Electronics Engineering Programme
Strathmore University,Master of Science: Computer-Based Information Systems (MSc CIS)
Strathmore University,Master of Science: Information Technology (MSc.IT)
Strathmore University,Master of Science in Statistical Science
Strathmore University,Master of Science in Mathematical Finance
Strathmore University,Master of Science in Biomathematics
Strathmore University,Master of Applied Philosophy and Ethics (MAPE)
Strathmore University,Master of Science in Education Management (MSc.EM)
Strathmore University,Master of Commerce (MCOM)
Uzima College,Diploma in Clinical Medicine
Uzima College,Bachelor of Medicine and Bachelor of Surgery (MBChB)
Uzima College,Diploma in Counseling Psychology
Uzima College,Diploma in Community Health Development
Uzima College,Diploma in Environmental Health
Uzima College,Diploma in Nutrition and Dietetics
Uzima College,Diploma in Management of health care systems
Uzima College,Diploma in Computer Science
Zetech University,Bachelor of Business Administration and Management
Zetech University,Bachelor of Purchasing and Supply Management
Zetech University,Bachelor of Business Information and Technology
Zetech University,Bachelor of Science in Information Technology
Zetech University,Bachelor of Science in Hospitality and Tourism Management
Zetech University,Bachelor of Science in Health Systems Management (Bsc.HSM)
Zetech University,Bachelor of Accounting and Finance
Zetech University,Diploma in Entrepreneurship
Zetech University,Diploma in Banking & Finance
Zetech University,Diploma in Accounting and Finance
Zetech University,Diploma in Business Management and Administration
Zetech University,Diploma in Marketing
Zetech University,Diploma in Office Management
Zetech University,Diploma in Human Resources Management
Zetech University,Diploma in Business Administration
Zetech University,Diploma in Purchasing and Supply Management
Zetech University,Diploma in Telecommunications Engineering (DTE)
Zetech University,Diploma in Instrumentation & Control Engineering
Zetech University,Diploma in Information Technology
Zetech University,Diploma in Software Engineering
Zetech University,Diploma in Computer Science
Zetech University,Diploma in Electronics Engineering
Zetech University,Diploma in Electrical Engineering (Power Option)
Zetech University,Diploma in Computer Engineering (DCE)
Zetech University,Diploma in Business Information Technology (DBIT)
Zetech University,Diploma in Communication and Computer Networks
Zetech University,"Diploma in Communication and Media Studies : Broadcast, Print, Advertising and Public Relations"
Zetech University,Diploma in Communication and Media Studies (PR Option)
Zetech University,Diploma in Communication and Media Studies (Advertising Option)
Zetech University,Diploma in Communication and Media Studies (Print Option)
Zetech University,Diploma in Communication and Media Studies (Broadcast Option)
Zetech University,Diploma in Travel & Tour Guiding Management
Zetech University,Diploma in Tourism Management
Zetech University,"Diploma in Nutrition, Food Science and Health"
Zetech University,Diploma in Hospitality Management
Zetech University,Diploma in Criminology and Security Studies
Zetech University,Diploma in International Relations and Diplomacy
Zetech University,Diploma in Early Childhood Development and Education
Zetech University,Diploma in Records and Archives Management
Zetech University,Diploma in Library and Information Science (DLIS)
Zetech University,Diploma in Community Health
Zetech University,Diploma In Counseling Psychology
Zetech University,Diploma in Project Management
Zetech University,Diploma in Education (Primary Option)
Zetech University,Diploma in Social Work
Zetech University,Diploma in Leadership & Governance
Zetech University,Certificate in Business Management
Zetech University,"Certificate in Purchasing, Supplies and Management"
Zetech University,Certificate in Electric and Electronic Engineering
Zetech University,Certificate in Information Computer Technology
Zetech University,Certificate in Journalism and Media Studies
Zetech University,Certificate in Food Science and Nutrition
Zetech University,Certificate in Hospitality and Tourism Management
Zetech University,Certificate in Development Studies
Zetech University,Bridging Certificate in Mathematics/English
Zetech University,Certificate in Early Childhood Development and Education
Zetech University,Certificate in Events Management
Zetech University,Certificate in Leadership & Governance
Zetech University,Certificate in Animal Health and Production
