career,course,universities,job_titles,skills
,Bachelor of Science  business information technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Java Developer,  Scrum Master,  Development Manager, Java Developer,  Java Developer","mentor,  scrum,  training,  conflict resolution,  Java,  svn,  jsf,  management,  xml"
,National Diploma,,"Software Developer,  Technical Developer,  Software Engineer,  Technical Developer,  Software Engineer","Php5+,  Mysql5,  Eclipse Ide,  MS Office 2005,  MS Excel 2005,  MS PowerPoint 2005,  Myeclipse Gui Tools,  Windows 2003 Server Network,  C++.NET"
,Bachelor of Science  It,,,"Visio,  Access,  sql,  vb6,  Crystal,  .Net,  Documentation"
,A-Level,,"Trainee,  Trainee","C++,  Sql Server,  Crystal Reports,  Java"
,Bachelor in Technology,,"java developer,  angular js,  PL SQL Developer,  Javascript Developer,  SQL Developer,  Java Developer","jdbc,  jsp,  ajax,  servlets,  oracle,  jsf,  sql server,  mysql,  json"
,Bachelor of Science  Mathematics and Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","SAS Developer,  SAS Programmer,  BI Developer, Sas Developer,  Sas Developer,  Consultant - Analytical Services,  Training and Development Manager","SAS programming,  Data Analysis,  Data Warehousing,  ETL,  SQL Programming"
,Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",software developer,"Xml/Xhtml,  Pl/Sql,  C#,  Css/Html,  Ajax,  Ajax \u2022,  Web Methods \u2022,  Java Script \u2022,  SQL Server"
,Bachelor of Science  (It),,Continuity Presenter,"Computer Literacy,  Programming - Basics,  Salesman"
,Oracle Certified Professional Programmer,,"Java Developer,  Java Developer, Java Project Programmer,  Java Developer and Web Programmer,  Web Developer,  Lotus Domino Web and Application Developer,  Operations Manager Call Centre,  2ND Level Technical Support,  Call Centre Operator","java development,  SQL,  Solution Design,  Linux,  Integration"
,Senior Certificate,,"Quality Coach,  Supervisor of Membership Department,  System Co-Ordination Acb Banking,  Personal Assistant to Claims Manager,  Assessor and Client Relations,  Ticket Seller,  Pre Assessor Office Runner,  Assistant Pre Primary School Teacher","Microsoft Excel,  Microsoft Word,  Microsoft Power Point,  Microsoft Outlook"
,Bachelor Of Technology - Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",,"C++,  Project Management,  Prolog,  Windows 2000,  Visual Basic 5"
,Bachelor in Technology Computer systems,,"system engineer,  programmer,  Software Developer,  Junior Software Developer,  Junior Software Engineer","node.js,  C++,  Soldering And Designing Circuit,  php,  C Language For Microchips,  SQL,  C#"
,Bachelor Computer Science/Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Loan Broker Call Centre Executive,  Software Developer",".Net / Asp.Net / C#.Net / Vb.Net,  Sql Server 2000/2005/2008,  Javascript,  Biztalk,  Call Center,  C + +,  asp"
,Bachelor Of Engineering,,"General Manager,  Head of IT,  Head of IT, Developer,  Developer","Business Intelligence,  Management Reporting,  Strategic Alignment"
,Advanced Diploma in business project management,,"IT Service Manager,  Helpdesk\\ Service Desk Manager,  Customer Service Manager,  Project Manager IT,  Project Administrator,  Incident\\ Problem Manager,  Change Manager\\ Coordinator","Dameware,  HEAT,  Active Director,  IT Project Management,  Crystal Reports,  Asset Management,  Active Directory,  Microsoft Office,  Word Processing"
,Computer System Engineering,,"SEO/ Sem Content Management Specialist,  webmaster,  content manager, Web Maintainace Programmer,  Web Developer","Content Management,  Web Development,  HTML,  Social Media,  Google Analytics,  UI/UX,  Python; Javascript; .NET; Java; Php; Xhtml,  Xml An,  Django; Ajax; Zend Framework; Vignette Java Cms; S"
,Comprehensive Programming,,,"Microsoft Office,  Microsoft Visio,  Java Programming,  Databases,  Systems Integration"
,B.Com Financial Management,,,"Microsoft Excel,  Customer Relations,  Microsoft Access,  VBA,  Financial Management,  Bookkeeping,  Business Solutions,  Accountancy,  Business Process"
,Matric,,"General Assistant,  Assistant Technician","Visual Basic,  Com+,  ASP,  Delphi,  Lotus Notes Development,  Microsoft Access,  MS office Development,  MS SQL,  Crystal Reports"
,Bachelor of Science It Management,,"Programmer,  Software Developer","Database Design,  SQL Server,  WCF,  Visual Studio,  Object Oriented Programming,  Devexpress,  Windows Forms,  ASP.Net MVC,  Google Cloud Platform"
,Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",,"Dreamweaver(Development Tool),  Photoshop And Freehand(Design Tools),  Flash(Animation Tool)"
,Graduate Engineer Of Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",,"HTML,  SQL,  C# Programming Language,  CSS,  Dhtml,  Javascript,  C Programming Language,  Asp Programming Language,  C++ Programming Language"
,Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Test Analyst,  Software Tester,  QA Tester, Delphi Developer,  Software Developer","ISTQB Foundation software testing qualification,  RQM,  Test Analyst,  QC,  TFS,  Microsoft Products,  Advanced,  Delphi,  Visual Basic 5.0 (Fundamentals and Programming)"
,Itil V3 Foundation,,"Solutions Architect,  ERP Manager,  Head of SAP,  Enterprise Architect,  Business Architect,  ERP Manager,  Head of SAP, Acting Head of SAP Customer Centre of Expertise,  SAP Development Manager,  IT Operations Manager,  Solutions Architect Business Support Systems,  Manager Development SAP Solutions,  SAP ABAP Developer and Team Leader,  SAP ABAP Developer,  Technical Analyst","Computer Literacy (Office Apps. & Operating Syst.),  Sap Technology,  Sap Hr Abap Development,  Sap Business Analysis,  It Service Management (Itil),  u""Open GroupS Togaf 9"",  Enterprise Architecture,  Solutions Architecture,  Object-Oriented Design Using Uml"
,Textile Technology,,Laboratory Technician,"Textile Technologist,  Computers,  Sap User"
,"Qualification Name: Masters (Business Leadership) Corporate Leadership""",,"IT Billing Specialist and Internationa Roaming Support Specialist,  Business Analyst,  IT Support Specialist,  IT Manager,  Service Operations Manager,  Solutions Architect,  Senior Operations Manager,  Business Analyst,  IT Support Specialist, IT Billing and International Roaming Specialist,  Billing Administrator and IT Support at Vodacom,  Analyst Progremmer,  IT Consultant and .NET Developer,  IT Consultant,  Network Service Unit Helpdesk Assiatant","Kenan System And Clarify,  Unix Shell Scripting,  WAP,  Scripting on Oracle Environment and Unix Shell Scripting on Unix Environment,  JAVA,  Informix GL -,  BEAM ( CRM) -,  Pascal,  Data Communications"
,NDip Computer Systems Engineering,,Any ICT,"MySQL,  ASSEMBLY LANGUAGE AND PLC.,  ABILITY TO PROGRAM USING C++,  ARDIUNO,  HTML5 and CSS3,  Bootstrap,  Ruby on rails,  MVC,  PRACTICALLY SKILLED AS THE END USER IN MS PROGRAMS (MS WORD"
,Course 1013:Mastering Microsoft Visual Basic 6 Dev,,,"ASP,  Visual Basic 6,  Xpath,  Xsl,  Relational Databases (Access 2000+Xp,  Sql 7+2000),  XML,  Soap,  Wsdl"
,National Diploma Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Development software,  Business Analyst Intern,  Networking Consultant","Development Software,  Project Management,  Microsoft Office,  Visual Studio,  Maven,  CSS,  Spring Framework,  HTML5,  AngularJS"
,Microsoft Professional Certificate,,"Systems Analyst,  C# Developer,  Data Analyst, Data Analyst,  Consultant,  Analyst Programmer","systems analysis,  C# development,  sql server development,  .Net,  mvc,  wcf"
,Matric,,,"Microsoft Windows 2000,  Pc Support,  A + Certified & It Diploma,  Linux,  Networking,  Ccna,  Graphical User Interface,  Cisco,  Economics"
,Masters,,"Java Developer,  Android Developer,  Software Developer,  IT Programer","Model development,  programming and computation: MATLAB,  C++ Programming,  Advanced Java Programming,  Android Programming,  Excellent technical,  plan and manage projects,  leadership skills combined with the ability to delegate,  Good team-working"
,National Diploma IT Communication Networks,,"junior software developer,  junior mobile applications developer,  junior ios developer","Xaml,  C#,  Entity Framework,  TDD,  Web API,  Dependency Injection,  Design Patterns,  IOS Development"
,Bachelor of Science  Computer Science and Informatics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","BI Developer,  BI Analyst","Ms Office,  IBM Cognos,  Java,  vb .NET,  C#"
,Bachelor of Science  (Information Technology Management),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Data Analyst,  Integration Specialist,  ETL Develper,  Microsoft Senior BI Developer","Tsql Language,  Microsoft Sql Server,  .Net & .Net Development,  Sharepoint & Excel Services,  Microsoft Analysis Services(Ssas),  Database Design,  Datawarehouse,  Microsoft Integration Services(Ssis),  Microsoft Reporting Services(Ssrs)"
,Bachelor Of Humanaties,,"Training Team Lead,  Project Manager,  Instructional Designer,  SAP Training Specialist,  SAP Trainer,  Learning and Development Manager],  Training and Development Manaher,  Global Training Manager,  Learning Development Specialist,  Senior Training Specialist, Senior Principal Consultant,  Oneerp Content Developer,  SAP Training Specialist,  HR Training Team Lead,  SAP Training Consultant,  SAP Document Developer,  Assistant Training Team Lead,  SAP HR Document Developer and Trainer","Training,  Software Documentation,  Training Solution Design,  Elearning Designer,  Stake Holder Analysis,  Training Lead,  ERP Integration,  SAP HCM,  SAP QM"
,Bachelor Of Arts Communication Science,,"Web Designer Developer,  Electronic Information Officer,  IT Co-Ordinator,  Personal Assistant,  Regional Personal Assistant,  Personal Assistant,  Personal Assistant,  Cashier","Adobe Acrobat,  Content Management,  MS Office 2007 - Super user,  Customer Relations,  HTML,  Banners,  Business Communications,  Editing,  Corporate Identity"
,Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Snr Developer,  IT Manager,  IT Manager, Developer,  Developer,  Developer,  Developer,  External Marker","C#. \r\nASP. NET,  MVC4,  SSRS (Sql Sever Reporting Services)\r\nSharePoint 2007,  Sql sever 2008,  Sql Server 2008,  ASP.Net,  WCF,  SharePoint 2007,  C#"
,Bachelor in Technology in Information Technology: Business Applications,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Junior C# Developer,  Web Developer,  .NET Developer,  Database Administrator,  Javascript Developer,  Data Capturer,  Intern Developer","Microsoft Office,  asp .NET,  C#,  Html,  Sql,  Microsoft Project,  oracle,  javascript,  cordova"
,Business Information Systems,,,"Web Design / Programming,  Application/Server Administration,  Presentation"
,MBA,,"IT Manager,  Operations Manager,  Senior Manager,  Operations Manager,  Senior Manager, Project Manager Software Developer,  Software Engineer Project Leader","It Systems Optimizatiom,  It Systems Architecture,  It Systems Intergration,  Programming (C,  C++,  .NET,  Java,  J2ee,  Xml"
,Bachelor of Commerce Management,,"Manager,  Retail,  Market Developer,  Market Manager","internet,  Outlook,  power point,  excel,  Efficient in word,  Advance driving course,  Typing and research,  Not applicable"
,Dns Introductory Course,,"C# ASP Developer, Supervisor,  Assistant,  Store Manager,  Telephonic Technical Support,  Developer,  Developer,  Developer,  Developer","Microsoft Office,  Monitoring Clients Network Activities Regarding Security,  Generating Of Monthly Reports,  Webmin Postfix Used To Create Emails,  Customer Service,  Sql Server 2000,  Assisting With Client Internet Problems,  Visual Basic,  Ms Access"
,Finacial Accounting & Bookkeepingcommunication,,"Team Leader, Junior Product Developer,  Marketing & Sales Consultant","Word Processing,  Leadership,  sms,  Spreadsheets,  Telephone Skills,  Scheduling,  Sales,  Microsoft Excel,  Marketing"
,Businessanalyst Diploma,,"Business Analyst,  Developer,  Designer,  Business Analyst","Javascripting,  Css,  Xhtml,  Technical Business Analyst,  Microsoft,  SQL,  Visio,  Iris,  C# Developer"
,Certified Lotus Professional,,,"Html,  Dhtml,  Javascript,  Lotus Domino,  Notes,  Lotusscript,  Servlets,  Jsp,  Java Development (J2se)"
,Bachelor Of Science,,,"Project Management,  Software Testing,  Auditing/Compliance Testing,  Software Development"
,Information Technology Business,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",webmethods Developer,"caf,  bpm,  esb,  java sql,  jsf,  Java,  primefaces,  Hibernate,  sql"
,Middel Management Programme,,"Training and Development, National Trainer","Motivator,  Coaching,  Gap Analysis,  Cross function Networking,  Articulate (Online Training Platform),  Training Needs Analysis,  MS Word,  MS Powerpoint,  MS Excell"
,Marketing,,,"Microsoft Office,  SAP"
,Mpc Certification 5.0,,"Developer,  Network Administrator","Asp Technology,  SQL,  Java Scripts,  .NET Development,  Visual Basic,  HTML,  Visual Basic Scripts,  People Management,  MPC"
,Matric,,,"Windows Networks,  Delphi,  Sql Database,  Windows Server 2003/ Exchange Server 2003,  C#"
,TOGAF 9,,"IT Operations,  Business Applications Manager,  IT Architect,  IT Test Manager, Information Manager,  Developer,  Online Technologist","Software Development,  IT Infrastructure and Operations Management,  Business Applications Support and Maintenance,  Test Manager,  SharePoint 2010,  Web Applications,  SQL Server,  SQL,  Data Analysis"
,Post Grad in Financial planning,,Regional Trainer,"writting skills,  Computer skills,  management skills,  communication skills,  Leadership skills,  Computer skills writting skills,  project management,  leadership skills,  none"
,Bachelor of Commerce Hons(Business Informatics),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Kenya Methodist University, Management University of Africa, Pan Africa Christian University, Scott Christian University, St. Pauls University, Strathmore University, Zetech University, Dedan Kimathi University, Jomo Kenyatta University(JKUAT), Multimedia University","IT Auditor,  IT Security, Web Developer","SDLC (Use cases,  Report writing),  ORACLE ERP Applications and MS SQL Server 2012,  CobIT 5,  ASP .NET,  JAD sessions,  Risk Management Framework (COSO),  \u2022,  VB .NET"
,Master of Science in Computers,,"Data Warehouse Developer,  informatica developer,  etl developer, Senior Software Engineer","informatica powecenter 10.1,  informatica power center 9.1,  Informatica 9.1,  oracle 11g,  unix,  oracle,  informatica,  Unix,  informatica power exchange"
,Applied Project Management,,"Oracle Developer,  Tutoring and Working in the Laboratory","Oracle,  SQL,  Pl/Sql,  Oracle Forms 6i,  Unix,  XML,  Oracle Reports 6i,  Rational Clear Case,  Microsoft Visio"
,Matric,,"CSM,  Ops Manager,  warehouse manager,  CRM,  Supply Chain Manager, Internal Auditor,  Systems Developer,  Customer Service Consultant","Pastel,  Pride,  JDE,  WMOS,  SAP,  Microsoft Office"
,MSc,,"Python Developer,  Senior Python Developer, Systems Analyst,  Developer,  Senior Analyst Programmer,  Developer,  Student Developer","NetCDF,  SQL,  OPeNDAP,  UML,  Service Oriented Architecture,  Object Oriented Design,  Python,  C#,  Relational Database Design"
,MSc,,"Python Developer,  Senior Python Developer, Systems Analyst,  Developer,  Senior Analyst Programmer,  Developer,  Student Developer","Object Oriented Design,  C#,  NetCDF,  OPeNDAP,  SQL,  Python,  Relational Database Design,  Service Oriented Architecture,  UML"
,National Diploma: Computer Sciences,"Gretsa University, St. Pauls University, Uzima College, Zetech University, University of Kabianga, Muranga University, South Eastern Kenya University","Junior Java Developer,  Junior Mobile Developer","Microsoft Office,  CSS,  Java SE,  HTML 5,  Bootstrap,  phpMysql,  CSS3,  Java EE,  Android SDK"
,Information Technology(Software Development,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Business Analyst/System Analyst, Lecturer","ssrs,  ssas,  ssis,  SQL,  C#,  SSIS,  SSRS"
,Mbit : Executive Leadership,,"Development Manger,  IT Operations Manager,  IT Management,  Senior Systems Developer, Regional Development Manager,  Senior Analyst Developer,  Junior Intermeddiate Developer Project Managemen","C# .Net Framework,  Sharepoint,  Delphi,  Sql Via Delphi,  C++,  Asp .NET & Vb .NET And Serve,  Project Management,  HTML,  CSS & javascript"
,Software Engineer Bachelor of Science  Comp Sci,,Senior Software Developer,"C++,  Java And C#,  Delphi,  Sql And Database Design( Mysql ),  PHP,  Javascript"
,Professional Scrum Master I,,"Software Engineer,  Software Architect/Analyst,  Project Manager,  Software Architect/Analyst,  Project Manager, Software Engineer,  Software Engineer,  Software Developer,  Software Engineer,  Software Engineer","Delphi,  Sql Server,  Web Services,  Xml,  Database Design And Modelling,  C#,  Project Management,  Scrum / Agile,  Client Facing Skills"
,Masters in Business leadership,,"IT Manager,  IT Systems Engineer,  Senior IT Manager,  Senior IT Engineer,  Senior IT Administrator","Systems Documentation,  Virtualization,  SQL,  SQL server Administration,  Systems support,  Oracle Database administration,  End user computing,  Disaster recovery,  S"
,Mcitp Server Administrator(Server 2008),,"Enterprise Application Integration Developer,  Security Specialist, WebMethods Environment Specialist,  APM Analyst/Production Support Analyst,  Microsoft Systems Engineer,  I.T Service Desk Agent","Desktop Support,  Toruble Shooting Operating Systems,  Incident Management,  Remote Support,  Analysis and Design,  Project Management,  ITIL,  Problem Solving,  Active Directory Administratrion"
,Bachelor in Technology It - 2nd Year,,"Analyst Developer,  Web Developer,  Software Developer,  Technical Trainer","Vb .NET,  Web Technology(Html,  Xml),  C#,  MS SQL 2003/2005,  Asp.Net,  Java,  Ssis"
,Bachelor of Science Honours Degree in Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University","Programmer,  Help Desk,  Clerk Admin,  Database Admin","Programming C#,  Programming VB.Net,  Programming Java,  Programming Android,  Programming C++,  Programming PhP,  OOP,  Data Analysis,  Business Intelligence"
,Bachelor in Technology,,,.NET Technologies
Data Science,Business Systems Analysis,,"Business Information Analyst,  I T Manager,  Systems Analyst,  Business Analyst IT,  I T Manager,  Systems Analyst, Merchant Business Developer,  Sales Consultant,  Teller","Project Management,  Report Writing & Problem Solving Skills,  Business Systems Analysis,  Process Design,  Systems Administration,  ICT Management,  Software Technologies (MS Office,  Jad /Rad,  Project Management Skills"
,Introduction to C# Programming,,"????, Self Employed,  Business Owner,  Owner and I.T. Manager,  Software Developer & Software Support Engineer,  Technical Software Development Support Engineer,  Full-Time Temp Agent as (Senior Credit Controller & Debt Controller),  Credit Controller,  Student Credit Controller","Developing Standards,  Leadership,  Accounting (Payable,  Reconciliation),  Financial Skills,  Customer services,  receivable,  Analytical Skills,  Customer Support"
,Bachelor in Technology Computer systems Engineering,,"techician,  Developer, IT Trainee","sql developer,  data logging,  microsoft office,  fault finding,  C# programming,  microcontroller,  network systs,  systems analysis,  C++ programming"
,Bachelor in Technology,,,"Pro C,  C,  C++,  AIX,  SQR,  Shell Scripting,  Sybase,  Cics,  Mysql 5.5.21"
,Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","bi developer,  bi consultant,  oracle developer,  bi analyst","-,  Oracle 11g OBIEE,  Oracle PL/SQL,  SQL Developer,  Uinux(Putty/MRemote)"
,Advanced Information Technology Certificate,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Senior Applications\\SQL Developer, Senior Implementation Specialist,  SQL Developer,  Software Developer,  Software Implementation Specialist,  General Temp","Sql Ssrs,  Sql Ssis (Bi),  Data Integrity Analysis,  Developing(Sql2000, 2003, 2005),  Networking (Tcp/Ip,  Rf,  Wireless"
,Electrical Engineering,,,"Computer Skills,  Mathematics,  Java,  Form Design,  Tomcat,  Adobe,  Javascript,  Mysql,  Oracle Developer 2000"
,Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",,"Java And J2ee,  Vb6 And Vb.Net,  Javascript And Html,  Sql Server 2000,  Visual Studio.Net 2003,  Ibm Rational Developer,  Oracle,  Websphere Studio Version 5.1,  Lotus Domino 6.5"
,ND MULTIMEDIA,,,"DREAMWEAVER,  WORDPRESS,  PHOTOSHOP/ILLUSTRATOR,  HTML/CSS,  HTML/CSS,  PHOTOSHOP/ILLUSTRATOR,  JAVASCRIPT"
,National Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Information Technology,  SQL/Database Developer","MS Excel,  MS Word,  SM Power Point,  VB .NET,  XML,  Javascript,  Java,  Commercial Programming,  ACL(Audit Toll)"
,Master In Computer Sciences (Mcs),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University",,"Oracle 8i,  Sql, Pl/Sql,  Html,  Css,  Knowledge Of Xml,  Java Scripting,  Asp.Net,  Java"
,information technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",junior,"powerpoint,  configuring networks. Capturing data using all microsoft office programs(exel,  word,  Desktop knowledge,  java.,  sql) as well as creating various programs and applications using the following programming languages : html,  Java,  desktop knowledge,  creating programmes and applications using HTML"
,Sun Certified Java Programmer,,"Web Technology Consultant,  Head Java Technologies,  Senior Java Developer,  Project Manager,  Developer","Html And Dhtml,  Java Servlets,  Javascricpt,  Xml/Xsl,  Apache/Tomcat Configuration,  Corba,  Python,  Delphi,  Asp Web Development"
,Bachelor of Science,,"Data Analyst,  Spatial Data,  Database Developer, y2k Compliancy Analyst,  Senior Analyst Developer,  Senior Analyst Developer,  Senior Analyst Developer,  Senior Analyst Developer,  Senior Analyst Developer,  Senior Analyst Developer,  Analyst Developer","Data Analysis,  SQL Server,  Data migration,  Database Developer,  SSIS,  T-SQL,  ETL,  Clipper,  Rpg Iii"
,Ndip - Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)",,"Microsoft Office,  Business Analysis,  Project Management,  Software Development,  Accounting"
,Bachelor of Engineering Computer Systems and Networks,,"Java Developer Senior,  Software Developer","solving peroblems,  Testing,  team player,  helping others,  Coding"
,B.Com,,,"All MS Windows,  Hardware & Software Troubleshooting,  MS SQl Server,  MS Visual Studio .NET,  Html,  Xml,  Vb Script Etc"
,Bachelor of Commercem Information systems,,"CIO,  IT Development Manager, Systems Analyst Programmer,  Integration Engineer,  Data Capture","Audit,  development,  IT budgets,  UseCase validation,  Reporting,  Team Performance monitoring,  People,  IT Staff recruitment,  Agile adoption"
Data Science,Implementing data models  & reports with Microsoft SQL Server,,"BI Developer,  BI Analyst,  Data Scientist,  Data Analyst,  Business Analyst, Nerve center: Officer,  Urban Management Inspector,  Visible Service Delivery Inspector,  Systems Administrator,  Customer Relationship Agent","SharePoint,  Project  Management,  Microsoft Office,  ITIL,  Business Analysis,  SQL Advanced,  Splunk,  Implementing and Maintaining Microsoft SQL Server 2008 Integration Services,  SAP BI"
,Senior Certificate,,"Instructional Designer,  eLearning Developer,  eLearning Developer","Macromedia Captivate,  Dreamweaver Mx 2004,  Photoshop,  Fireworks,  Instructional Designing,  CSS,  Html,  Xhtml,  Dhtml"
,Nd:Financial Information Systems,,"finance clerk,  debtors/creditors clerk,  debtors/creditors clerk, Financial Systems Intern Trainee","Flag Leader(Drum Majorrettes),  Microsoft Office,  Vip Payroll,  sap,  ms office,  vip payroll,  Pastel Accounting,  Oracle,  project management"
,Fundamental Of Programming,,,"Computer Literate,  Excell,  Power Point, Word Perfec,  Communication Skills"
,B-Com,,,"Ebs Release 12,  SQL,  Plsql,  Linux"
,Bachelor in Technology in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)","Business Intelligence Developer,  Database Developer,  Front End Web Developer,  Report developer,  SQL Developer,  SQL Database Administrator","\u2022Excellent working knowledge of all Microsoft Packages,  SQL Server,  PowerBI,  SAP Crystal Reports,  SSRS,  Excellent Knowledge of A+ and N+,  SAP BusinessObjects,  Report Scheduling and Configuration,  Database Development through SQL"
,Microsoft Certified Application Developer For .Net,,"SNR Software Developer, .NET Software Developer,  .NET Software Developer,  Junior Software Developer,  Senior Programmer","Documentation,  Ado.Net,  Javascript,  Asp.Net,  Cobol 68 / 72,  CSS,  HTML,  Dhtml,  C#"
,Masters of Science in Electrical Engineering,,"Electronics engineer,  Embedded Electronics engineer,  Mechatronics Engineer","Mechatronics,  Artificial intelligence,  Analysis,  Research,  Power Electronics,  Process Control and Instrumentation,  Electronic circuit design,  SQL,  Project Management"
