Course,Institutions
Bachelor of Science  Computer Science and Informatics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Master in Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Object Oriented Analysis And Design ,
Advanced Diploma Information resource management,
Bachelor Of Science In Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Business Analysis Diploma,
Microsoft technical course,
Bachelor of Science  Computer Science & Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  in Computer Systems,
Bachelor of Science  Computer Science And Information  Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Technology Software Development (Nqf7),
Bachelor in Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science  Honors,
Electronics and Computer Engineering,
Advanced Level,
Project Management,
Bachelor in Technology Information Tecnology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bing Computer Engineering,
Bachelor of Technology in Informatics,
Bachelor of Science in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  General,
Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
MSc Project Management,
Computer Programming Diploma,
Master Of Business Leadership (Mbl),
Fundamentals of Human Resource,
Turbo Charged Leadership Engineering Programme,
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Java Programming Certificate,
Certificate in internet Marketing,
Oracle Certified Professional,
Mcap,
Bachelor of Science Informatics,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Technology Software Developemny,
Masters of Science Computer Science (Artificial Intelligence),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Certificate In Outcome-Based Assessment,
Master of Science in Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science ..Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  Electrical Engineering And Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
CERTIFIED JAVA SE6 DEVELOPER,
M Phil (Personal And Professional Leadership),
BachelorS Degree In Computer Science & Management,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor in Information Technology (4 Year),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Commerce Management,
Diploma Business Analysis,
Dip Comp Sci,
National Diploma,
NQF Level 6 Software Developmet,
NQF Level 5 System Support,
Prince2,
SSIS - implementing and maintaining MS SQL server 2008,
Bachelor of computing,
Bachelor of Science  Computer Science and Mathematics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Economics,
Software Developer,
Matric,
Electrical Engineering (Bachelor of Science  Eng (Elec) (Hons)),
Master Of Computer Applications,
Masters Of Business Leadership (Mbl),
Bachelor of Information Science degree,
Bachelor in Technology:It,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Matric,
Masters in Business Administration,
Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Higher Certificate in IT,
Bachelor Of Science Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science(Computer Science Honours),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
SAFe 4 Certified Agilist,
Bachelor of Science  IT,
Bachelor Of Science (Computer Science),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Certificate In Marketing Managment,
International Software development,
Graphics Design And Web Development,
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Project Management,
Mine Overseer Certificate,
Tibco - Bpm510 Business Studio 3.X,
National Diploma in Datametrics,
National Certificate: System Development,
Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Commerce ITM,
Computer Programming,
Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
fundermentals of Project management,
Advanced Diploma in Information Resource Management,
Mazter Of Science - Electronics,
Masters in Computer Science and Information Engineering,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Advanced Diploma or Bachelor in Technology in Business Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Mcp: Com+        .NET Framework,
Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  Information Technology management,
Bachelor of Science  Computer Science and Statistics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
MCSE:  BUSINESS INTELLIGENCE,
Bachelor Of Business Science (Comsci),
Bachelor of Technology: Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Saqa (Nqf 7),
Bachelor of Science in Technology(Degree),
Graphic And Web Designer,
Doctorate,
Android Mobile Developer,"eMobilis Training Institute, Moringa School"
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Commerce (Hons) Informatics,
M.A. in Demography and Population Studies,
Bachelor Of Science In Computer Systems,
National Certificate : Datametrics,
National Diploma:engineering Computer Systems,
Bachelor of Commerce,
Leading in a Digital Economy,
Computer Systems Engineering,
Project Management,
Bachelor of Science  - Mathematical Sciences,
Postgrad Diploma in Management,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Matric,
SAP Security Certified,
Masters degree in Applied Science,
Mcts - Asp.Net,
Cobol Programming,
Bachelor of Science It,
Bachelor of Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Datametrics Diploma In Information Systems,
Advanced Diploma - Events Management,
National Certificate Systems Development Nqf5,
Computing Diploma,
Masters Of Business Management,
Bachelor Of Science,
Final Year Bachelor of Commerce Information Systems Student,
Bachelor of Commerce Hons Information Systems and Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Oracle Ocp Certification,
Iseb Foundation Certificate In Software Testing,
Bachelor of Commerce Honours (Business Management),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Kenya Methodist University, Management University of Africa, Pan Africa Christian University, Scott Christian University, St. Pauls University, Strathmore University, Zetech University, Dedan Kimathi University, Jomo Kenyatta University(JKUAT), Multimedia University"
Diploma In Datametrics,
Nd Graphics Design And Web Development,
Strate Course,
Bachelor in Technology:Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Mechanical Engineering,
Entrepreneurship Course,
CCNA Routing and Switching,
Master In Business Management (MBA),
Masters of Science: Chemical Engineering,
Report Building Using Impromt,
Bachelor of Science,
Matric certificate,
Bachelor of Science  In Computer Science And Ist,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor in Technology Information Technology: Software Development,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
MCSD (Systems Development),
B.Com Informatics,
Bachelor of Commerce Honours Information Systems,
Certificate in End-user Technology specializing in Business,
B.E Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Itil Foundation ,
Web Design & Development For The Internet,
Bachelor in Technology(CSIT),
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Future Generation Leadership Program,
Sun Certified Java Programmer,
Post Graduate Diploma Business Administration,
Matric,
Graphic Design,
Diploma in Transportation,
Bachelor of Science ,
Bachelor of Science. Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science ConsumerScience (Food),
Bachelor Of Engineering In Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Asp Certificate,
Bachelor of Science  business information technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
National Diploma,
Bachelor of Science  It,
A-Level,
Bachelor in Technology,
Bachelor of Science  Mathematics and Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science  (It),
Oracle Certified Professional Programmer,
Senior Certificate,
Bachelor Of Technology - Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor in Technology Computer systems,
Bachelor Computer Science/Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor Of Engineering,
Advanced Diploma in business project management,
Computer System Engineering,
Comprehensive Programming,
B.Com Financial Management,
Matric,
Bachelor of Science It Management,
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Graduate Engineer Of Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Itil V3 Foundation,
Textile Technology,
"Qualification Name: Masters (Business Leadership) Corporate Leadership""",
Diploma Computer Systems Engineering,
Course 1013:Mastering Microsoft Visual Basic 6 Dev,
National Diploma Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Microsoft Professional Certificate,
Matric,
Masters,
National Diploma IT Communication Networks,
Bachelor of Science  Computer Science and Informatics,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Science  (Information Technology Management),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor Of Humanaties,
Bachelor Of Arts Communication Science,
Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor in Technology in Information Technology: Business Applications,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Business Information Systems,
MBA,
Bachelor of Commerce Management,
Dns Introductory Course,
Finacial Accounting & Bookkeepingcommunication,
Businessanalyst Diploma,
Certified Lotus Professional,
Bachelor Of Science,
Information Technology Business,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Middel Management Programme,
Marketing,
Mpc Certification 5.0,
Matric,
TOGAF 9,
Post Grad in Financial planning,
Bachelor of Commerce Hons(Business Informatics),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Kenya Methodist University, Management University of Africa, Pan Africa Christian University, Scott Christian University, St. Pauls University, Strathmore University, Zetech University, Dedan Kimathi University, Jomo Kenyatta University(JKUAT), Multimedia University"
Master of Science in Computers,
Applied Project Management,
Matric,
MSc,
MSc,
National Diploma: Computer Sciences,"Gretsa University, St. Pauls University, Uzima College, Zetech University, University of Kabianga, Muranga University, South Eastern Kenya University"
Information Technology(Software Development,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Mbit : Executive Leadership,
Software Engineer Bachelor of Science  Comp Sci,
Professional Scrum Master I,
Masters in Business leadership,
Mcitp Server Administrator(Server 2008),
Bachelor in Technology It - 2nd Year,
Bachelor of Science Honours Degree in Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor in Technology,
Business Systems Analysis,
Introduction to C# Programming,
Bachelor in Technology Computer systems Engineering,
Bachelor in Technology,
Bachelor in Technology Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Advanced Information Technology Certificate,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Electrical Engineering,
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Multimedia Design,
National Diploma in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Master In Computer Sciences (Mcs),"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
information technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Sun Certified Java Programmer,
Bachelor of Science,
Ndip - Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Engineering Computer Systems and Networks,
B.Com,
Bachelor of Commercem Information systems,
Implementing data models  & reports with Microsoft SQL Server,
Senior Certificate,
Nd:Financial Information Systems,
Fundamental Of Programming,
B-Com,
Bachelor in Technology in Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Microsoft Certified Application Developer For .Net,
Masters of Science in Electrical Engineering,
Bachelor in Technology (Information Technology),"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
B.Com,
ITIL FOUNDATION,
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Time and Stress Management,
Bachelor in Technology(IT),
MSc Plant Pathology,
50064a Advanced Sharepoint Development,
Bachelor of Technology,
National Certificate,
Senior Certificate And Network Diploma,
Starteam 2005 Advanced: Administering Projects,
Bachelor of Business Administration,
Fundamental Soa & Service-Oriented Computing,
Bachelor Of Technology,
Project Management: Perspective,
Bachelor of Science  Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor in Technology : Information Management,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Bachelor of Science Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor of Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
Financial Managment,
Bachelor of Commerce Honours Informatics,
Infomation Technology,
ISTQB-Advanced Test Manager,
B.Com Informatics,
Certificate in Web Development and Graphic Design,
Matric,
Microsoft Application,
Ibm Lotus Clp Principal R6,
Bachelor of Science  Hons Management Of Technology,
Advanced Diploma in Information Resource Management,
Busines  Objects Administartion And Authorisations,
Microsoft Cerified Developer,
Sun Certified Java Programmer (Scjp),
MSc Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Bachelor&#8217;S Degree In Technology (Telecommunicatio),
Matric,
National Diploma In Datametrics,
Diploma In Computer Science (With Distinction),"Gretsa University, St. Pauls University, Uzima College, Zetech University, University of Kabianga, Muranga University, South Eastern Kenya University"
Mcdba,
Diploma In Bookkeeping - Computerised,
Masters Computer Application,
Java Programming,
Matric,
Bachelor of technology,
Bachelor of Science  in Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Microsoft Certified Solutions Associate,
Senior Certificate,
Mcsd C++,
Tertiary,
National Diploma: Electrical Engineering,
Bachelor of Science. (Honours) Computer Science,"Africa Nazarene University, Catholic University of Eastern University, Gretsa University, Kenya Methodist University, St. Pauls University, Strathmore University, Jomo Kenyatta University(JKUAT), Kenyatta University"
Information Technology,"Africa Nazarene University, University of Eastern Africa Baraton, Gretsa University, Management University of Africa, Kenya Methodist University, Strathmore University, Kenyatta University- (Online), Multimedia University, Technical University of Mombasa, South Eastern Kenya University, University of Nairobi, Moi University, Meru University, Masinde Muliro University, Jomo Kenyatta University(JKUAT)"
National Diploma(IT),
