Course,Skills
Comptia Linux+,"Microsoft Windows (Desktop) 3.1, 95, 98, 2000,  Xp,  Hardware Support,  Microsoft Active Directory,  Windows 2000,  Nt4 Server"
Java 2 Enterprise Edition Specialist,"Visual Basic 6,  Sql & Transact Sql,  Object Oriented System Analyses And Design,  Xml /Xsd,  Business/Requirements Analyses,  HTML,  Project Management,  Asp.Net,  C#"
Bachelor of Commercem Information systems (HONS),"javascript programming,  php programming,  CSS3,  HTML 5,  C# programming"
Computer Science,"Software Developer,  C#,  Java,  PHP,  ASP.NET,  repairs,  Web Services,  graphic design,  networking"
Information Technolody,"ETL,  ssis,  CAB,  COGNOS,  Data Analysis,  Scrum,  Data warehousing,  Business Intelligence,  PL/SQL"
Foundation Certificate in Project Management,"Microsoft Office,  JCL,  Natural Adabas Programming,  Software Development Life Cycle (SDLC),  C#,  MS SQL,  Project Management,  Oracle"
Masters of Science in Computer Science,"crystalreports,  ssrs,  jasper,  mvc5.0,  enity framework 6.0,  Jdbc,  C #.Net,  Asp.Net,  Java"
Bachelor Engineering,"Vc++.Net,  Windows Mobile Developement"
Bachelor in Technology In Information Technology,"Java,  SQL,  SDLC Management,  Technical Specifications,  Project Management,  Waterfall,  User Manuals,  Agile,  .Net"
Togaf 9 Certification,"Sql Server,  Business Intelligence Systems Development,  Solution Architecture,  Enterprise Architecture,  Business Architecture,  Business Intelligence,  Data Management,  Web Development,  Requirements Analysis"
Web and Application development,"jquery,  ajax,  html5,  CSS3,  javascript,  facilitator,  project Officer,  Project manager,  HTML5"
System Development,"C#,  HTML,  SQL,  Java,  Desktop Support,  sql,  Legal Aspect Skill,  Developing,  XML"
National Diploma in Information Technology,"QA and Testing,  SQL,  Life Skill,  u""Free Basic of Home Owners Association Online Short Course"",  Free Basic Sectional Title Online Short Course,  SHE Representative training,  The PFMA and Internal Financial Management and Budgeting,  Fire Fighting and Evacaution Planning,  Cobol Programing"
MCSD,"Sql,  Olap And Mdx Expertise,  Crystal Report Writing,  Sql Development In 2000, 2005, 2008,  2008r2 and SQL 2012,  Vb Scripting,  Kanban"
Certificate in Data Science,"d2k,  reports and forms,  unix,  ms-excel,  toad,  Oracle pl/sql,  sql queries,  unix scripting,  html 5"
National Certificate: Systems Support Engineering,"Microsoft outlook,  Office 365,  Desktop Support,  Skype for business,  iOS,  Active Directory,  Mcrosoft Lync Server 2010,  Mimecast,  Office365"
Adobe Photoshop Cs & In Design Cs,"Adobe Photoshop,  Macromedia Dreamweaver,  Html,  Imageready,  Microsoft Office,  Corel Draw,  Macromedia Flash,  Macromedia Fireworks,  Sourcesafe"
B.Com Hons (Economics),"Excel Modelling,  Microsoft Office,  Project Management,  Corporate Financial Analysis,  Shareholder Value Analysis,  Research Methodologies,  Economic Analysis,  Web Development,  Bloomberg"
Bachelor Of Technology,"CSS,  Asp .NET,  ajax,  html,  wcf,  wpf,  jquery,  java script,  sqlserver"
Diploma In Software Engineering,"Asp .NET,  C# .NET,  Ms Sql Server,  Ms Visual Studio,  .Net Framework 2.0, 3, 3.5, 4, 4.5"
Diploma In Information Technology,"Sql Server 2000,  MS Excel,  MS Access,  Crystal Reports 9,  HTML,  Mysql"
Website Design Diploma,"Internet Research,  Verbal,  Written And Interpersonal Communication,  Critical Thinking/ Problem Solving,  Microsoft Word 2003,  Adobe Photoshop,  Dreamweaver Mx,  Freehand Mx,  Fireworks Mx"
Bachelor of Science Computer Sc,"MS Office,  VBA,  HTML,  Javascript,  Webforms,  MVC,  CSS,  VB .NET,  C++"
M.A Psychology,"Saba Publisher,  Photoshop,  Web Design,  Ms Word/Excell,  Data Capturing,  Typing"
Mechanical Engineering,"Microsoft Windows 2000,  Troubleshooting,  Mathematics,  Lecturer,  Quality Control,  Training Programs,  Training Materials,  Engineering,  Communication"
BS Software Engineering,"Telerik,  MS SQL Server,  VB .NET,  C#  .NET,  Javascript,  Ajax,  Project Management"
Bachelor of Science  in IT,"Visual Studio,  Autodesk Softimage,  AutoDesk Maya,  Adobe CS6,  MySQL,  CSS3,  JavaScript,  Bootstrap,  Android"
Bachelor of Engineering (Elec),"Create Help Files,  Manuals,  Policies,  Procedures,  Analyse Systems Using Process Modelling Techniques,  Identify Risks And Determine Requirements,  Estimate Timelines,  Expenses And Resources,  Design"
Computer Systems Engineering,"HTML,  SQL Server,  C#,  Java,  PHP,  angularJS,  Wordpress"
Master of Business Administration (MBA),"Business intelligence,  data migration,  leadership,  integration,  SQL,  data,  Business Process"
Bachelor of Science (Honors) Computer Science,"Computer Literate,  Bi\\Ssis Developer,  Working Under Pressure,  Software Tester,  Programming With C++, Visual Basic, Java"
Bachelor of Engineering Electronics ,"C++ development,  Software design,  Operations research,  Development management,  C Programming"
MCSE,"Microsoft Iis 4 / 5 / 6 / 7 / 8,  Html / Xhtml / Dhtml / CSS / Javascript / VBachelor of Science ript,  Activex Data Objects (Ado / Ado.Net),  Windows 2000 / Windows Xp / Windows 7,  Java / Servlets / Javabeans / Tag Libraries,  Java Server Pages (Jsp),  Mysql,  Borland Jbuilder 5 / 7 / 9 / X,  Active Server Pages (Asp)"
Bachelor in Technology : IT,"ms word,  quality center,  sql,  ms excel,  Rpg Iv,  Teaching,  Lotus Notes,  A + Certified,  Business Analysis"
Web-Centric Application Designer And Developer,"resource planning,  team management,  Project planning,  budget allocation,  xml,  sql,  .NET,  C#,  html"
Bachelor of Science,"c++,  Java,  UML,  Linux,  Sql Server, Mysql, Access, Ingressiii,  Corel Draw"
Masters In Industrial Organisational And Labour St,"Interpersonal,  Ability To Work Independently,  Computer Literacy,  Communication,  Research,  Analysis And Problem Solving,  Tutoring And Mentoring/Leadership,  Training,  Ability To Work In A Team"
Bachelor of Commerce (Hons): Marketing Management,"Marketing management,  branding,  presentations,  strategy,  research and anaylsis,  event management,  Microsoft Office,  Online Survey Construction And Deployment,  Online Email Broadcasting"
Bachelor of Commerce,"Information Technology,  Operations Management,  Financial Management,  Reporting & Analysis,  Accounting Principles,  Human Resources,  Vs.Net C sharp Asp.Net SQL"
Bachelor in Information Technology 4th Year Honours - Thesis Pending15,"Vb .NET,  Systems Analysis And Design,  Xml Development,  Network Security Monitoring,  Html And Web Design,  Knowledge And Information Management,  Sql Database Management,  Java,  C++"
Graduate Diploma,"Computer Literate,  Personal Counselling"
Learn Ethical Hacking and Effective Counter Measures from Scratch,"Windows,  Asp C# .Net (Aspx),  Visual Studio C# .Net,  C# .Net,  Microsoft Sql,  Javascript,  Linux,  Mysql,  Continuous Integration"
Bachelor of Science  Computer Science And Information Technology,"Programming,  Sqlserver 2008,  Dba,  World Editor,  Resharper,  C#,  javaScript,  MDX,  VB.net (development and admin)"
Certified User Analyst,"Blender,  Articulate Quiz maker,  Flash,  Dreamweaver,  After Effects,  Adobe Premiere,  Photoshop,  Adobe Acrobat Pro,  Adobe Ominture"
Bachelor of Science  Computer Science and Mathematics,"java,  windows OS,  python,  virtual basic,  programing C#,  linux,  XML,  MS Access,  programing C++"
Masters of Science(Eng) Telecommuniction And Information Technolo,"Mobile Applications,  Online &amp; Digital,  Cross functional team management,  m-Commerce,  Product development,  Product managemet,  People management,  e-Commerce,  Project management"
Diploma in Business Analysis,"Java Programming,  Process Modelling,  Selenium,  Postilion Software,  C Programming,  Software Engineering,  Javascript,  Requirement Definition,  Unix"
 Bachelor of Science in Information Technology,"Data Analytics,  Data Warehousing,  Business Intelligence,  Business Insight,  Research,  Exexutive Communication,  Project Management"
Diploma Information Technology,"Ms Frontpage,  Ms Power Point,  Html,  Microsoft Word,  SQL,  Ms Excell,  Unix"
Bachelors in Computing with Honors,"Education & Mentorship,  Mathematics & Statistics,  Code Cycle & Deployment,  SOLID Principles,  Innovation,  Modular Development,  Intuition,  Frameworks,  Business Innovation"
National Certificate Business Analysis,"Information System,  Business Analysis,  MIS Developer,  SSRS and SSIS,  SQL,  System analysis and design (Waterfall SDLC),  Unified Modelling Language (UML),  Accounting Skills,  Time management"
Doctor Of Philosophy,"Public Speaking,  Presenting,  Report writing,  Policy formulation and analysis,  qualitative research,  Country and industry analysis,  Creative Writing,  Policy Analysis,  Research"
Bachelor of Science  Eng Mechanical,"html5,  CSS3,  bootstrap,  jquery,  javascript,  php,  angularjs,  sql"
Bachelor of Commerce Marketing Management,"MS- Word,  Computer Applications Technology- Matric,  Communication Skills,  Sales,  MS- Outlook,  MS- Excel,  Pastel Accounting v14,  Social Media,  Pastel POS"
Financial Information Systems,"Webmethods Integration Server,  Webmethods Bpm,  Webmethods Caf,  SQL,  Service Oriented Architecture,  Fico Blaze,  webmethods integration server,  ASP"
Bachelor in Technology,"Asp.Net,  Dot Net,  HTML,  JavaScript,  Open Layers,  Web Services,  ArcGis,  JQuery"
Computer Science,"Entity Framework,  Project Management,  jQuery,  Webforms,  Xamarin.Forms,  C#,  REST,  SQL,  MVC"
Oracle SOA Suite 12c Certified Implementation Specialist,"ARIS,  Oracle SOA Suite 12 c,  HPQC,  IIS,  HP SOA SYSTINET,  Enterprise Arcitect,  JBoss Application Server,  SAP PI/PO 7.31,  IBM MQ"
CISCO,"Microsoft Office,  CSS,  Microsoft Visual Studio,  ASP,  XHTML,  C#,  Java"
 Bachelor of Technology,"ERD,  DFD .,  adherence to principles and values.hard working under pressure,  team building,  communication skills,  UML,  SDLC,  Programming,  Computer literate"
N.Dip. Information Technology,Programming
Post graduate Diploma in Project Management,"Communication skills,  Interpersonal skills,  Innovative,  Presentation skill,  Programming,  Leadership skills,  self-driven performer,  Team player,  good communication skills"
Java Enterprise Programming Course,"Javascript,  PHP,  mySQL,  CSS,  HTML,  Team Management,  Java"
Postgraduate Diploma in Programme Management,"Telecommunications Industry And Business Expertise,  Project Management,  Programme Management,  Strategy Implementation,  Balanced Scorecard,  Financial Analysis,  Customer Insights,  Strategy Planning,  Exceptional Oral And Written Communication Skills"
N.Dip Engineering (Computer Systems),"php,  Operating Systems,  Programming,  Application Development,  Communication Skills,  Logic,  Mathematics,  Database Administration,  Research"
Bachelor of Science  It Management,"Oracle,  Delphi,  Linux,  Retek (Rdw),  Retek (Rms),  Web,  Unix,  My\\Sql,  Proc*C"
CFA Level 3 Exam,"Finance,  investments,  controls,  process optimisation.,  VBA coding,  Accounting,  Management,  Web Page Design,  Computer Programming"
Bachelor of Science  Computer Science,"Operating systems and other softwares.  Enjoy working with people of all ages and different races. Capable of flying solo.,  Installation of microsoft Applications,  Fire walls,  diagnose PC problems and resolve them. Replacing faulty parts.,  cleaning virus,  Virtualization (Hyper V and Vmware ),  Documentum Webtop and D2,  CSS,  HTML"
Advanced Buainess Analyst,"T-SQL,  SSIS,  SSRS,  PowerBI,  Excel Advanced,  SSAS,  Tablea,  requirement documentation,  Leadership Skills"
MS Software Engineering,"Qlik Sense Desktop,  Qlik Sense Server,  Data modeling (Star and snowflakes schemas),  MS SQL Server,  Data mining and Data cubes,  Qlikview Desktop,  Qlikview Server and Publishe,  SSAS and SSRS,  Qlikview NPrinting"
Bachelor of Science  Computer Science and Electronics,"MS Office,  communication skills,  troubleshooting,  Java,  C++,  LabWare(LIMS)"
JAVA SE 8  certificate,"access,  vb,  vb. Net,  able to program with project,  C#,  and Java,  microsoft office( 2006-2016) + visio,  sql,  oracle"
National Certificate in Business Analysis,"MARKETING,  SYSTEMS ANALYSIS,  COBOL,  ENTERPRISE ANALYSIS,  PROJECT MANAGEMENT,  COMMUNICATIONS,  MANAGEMENT INFORMATION ANALYSIS,  VB.NET,  Visual Basics"
Itil Version 3 Foundation,"Microsoft Office (2010, 2007,  2003) - All Products,  Software Engineering,  Microsoft Visual C++ 6.0,  Business Management,  Microsoft Visual Basic 6.0,  Borland C++ Builder,  Agile"
Bis Information Science,Computer Skills
Multimedia Technology,"Cascading Style sheets and Microsoft (Excel,  Word and PowerPoint),  Languages: Fluent  in Setswana and English,  Adobe Photoshop,  XHTML,  Adobe Flash,  Mozilla Firefox,  Afrikaans   IT and Software: Internet Explorer,  Adobe Dream Weaver"
Python,"WebSphere,  SOA,  SQLite,  Python,  JSON,  Web Services,  XML,  Solutions Design,  XSLT"
Oracle Certified professional,"VB .NET C++ Delphi SQL PL/SQL HTML MySql  C#,  Java,  Java J2SE J2EE,  C++,  C#,  Ldap,  websphere,  servlets"
Honours Bachelor of Commerce Information Systems,"Toad,  Windows & Msoffice,  Oracle,  System Analysis And Design,  Delphi 7,  Pastel Accounting,  Visual Basic 6,  Asp,  VBachelor of Science ript"
Bachelor of Science Honours in Computing,"Internet,  Microsoft Excel,  Microsoft Powerpoint,  Microsoft Word,  Customer Care, Communication Skill, Interpersonal,  Communication Skill,  JQuery"
Green Belt Team Member Certification,"Highly Pc Literate,  Problem Solving,  Project Management,  Human Resource Management,  Facilitation,  Instructional Design,  Process Design,  e-learning,  Learning Management"
Adobe Analytics Certified Expert,"Jquery,  Agile,  Adobe Analytics Implementation,  MySQL,  UML,  Cordova,  C#,  Marketing,  Ajax"
Sun Certified Java Programmer(Scjp),"Java,  Visual Basic,  Lunix/Unix,  Shell Scripting,  C-Sharp,  Tivoli Netcool"
Information Technolgy,"Java J2se5 Programming,  Sql Language,  Java J2ee,  Microsoft Access,  Microsoft Excell,  Html Editing,  Cobol Programming,  Oracle 9i,  Masm - Microsoft Assembler"
Bachelor Of Technology,"Ssas/Ssis/Ssrs,  Nhibernate,  Ioc (Castle),  Powershell,  Msef,  C++, C#(.Net 4), Vb.Net,  Java"
Financial Information Systems,"BADI,  BAPI,  Problem solving,  Analysis,  USER EXITS,  Abap Developer,  Crystal Reporting,  Programming"
Cornerstone Lms Certification,"E-Learning Content Development,  Cornerstone LMS Implementation,  Cornerstone Integration Consultant,  Saba Administrator &amp; Technical Specialist,  Graphic Artist,  Instructional Designer,  Cornerstone Integrations,  Cornerstone Performance Implementation,  Cornerstone Recruitment"
Postgraduate Diploma in Management (PDM),"Business Analysis,  solutions architect,  project management,  System Analysis,  leadership,  designing,  Documenting,  modeling,  communication"
Bachelor Of Commerce (Honours) Information Systems & Technology,"Linux scripting,  auditing,  SQL,  PL/SQL,  Qlikview,  Unux /Linux Scripting,  SAS programming,  Ab Initio and Informatica development,  VBA"
Computer Science & Statistics Degree,"\uf0d8\tPatching of Operating Systems,  \uf0d8\tTroubleshooting problems of students,  \uf0d8\tDesktop support,  \uf0d8\tPrinter Maintenance Print device,  \uf0d8\tmaintenance - clearing paper jams - changing cartridges Installation.,  IT Technician"
Information Technology,"Java,  Database,  PHP"
Bachelor of Science  Honors Business Information Technology,"HTML,  Java,  J2SE,  SQL,  Delphi 5,  CSS,  MySQL,  JEE,  Javascript"
Master of Technology in electrical engineering,"wind energy,  Decision-making and critical analysis,  Renewable energy,  PV systems,  Able to work independently and under supervision.,  Communication skills,  Protection systems,  Power electronics,  Power systems"
Media Practice,"PowerPoint,  Ms Office,  Ms Excel,  Access,  Adobe Photoshop,  Ms Publisher,  presentation,  Outlook,  selling"
Bachelor Social Science,"Exports,  Warehousing,  International Business,  Supplychain Optimisation,  Supply chain Management solutions,  Imports,  Business Development,  Packaging,  Sales"
IT Diploma,"Visual Studio,  HTML5 + CSS3,  Nosql,  Git,  Microsoft Office,  Internet,  It Operator,  SQL,  Database"
The Care Certificate,"CSS,  An Eye for Detail,  Common Sense,  ASP Scripting,  HTML,  PHP,  JavaScript,  Photoshop,  Mandarin"
Masters In Information Technology,"Windows Nt And 2000,  Mcse ( Windows Nt ),  System Development Life Cycle,  It Management (Itil),  Project Management(Methodology And Software Tools),  MS Exchange,  Wide Area Networking (Cisco Routers),  Web Development,  Linux Server And Apache"
Sf Agent,"Support & Project Management,  Spot Forex trading,  Media development,  Marketing"
Bachelor in Technology Information Technology,"Javascript,  C#,  Asp.Net,  .Net,  Ajax,  MS SQL,  Sharepoint"
Masterdegree In Computer Applications,"J2ee Technologies,  Java,  Html,  Javascript,  CSS ,  Dhtml,  Oracle Pl/Sql,  Dress Designing,  Struts"
Master of Business Administration - IT,"uniPaaS,  Magic 8.3,  Oracle,  Btrieve,  Edeveloper,  SQL,  XPA,  Toad,  P/L SQL Developer"
Bachelor of Science  In Computing (Computer Science and Mathematics Stream),"Java,  Data Warehousing,  SQL,  C++,  PostGIS(PostGreSQL),  HTML,  GoLang,  Android Development,  J2EE"
Bachelor of Science  Informatice,"Basic Word/Spreadsheet  Processing *,  SAP ABAP/WebDynpro *,  SAP HR Programming *,  Java *,  SAP Java WebDynpro,  SAP ABAP *"
Foundations of Solution Architecture Course,"TOGAF Foundation Certification,  Web Application Architecture,  ArchiMate Notation,  Asp.Net,  Scrum/Agile Methodology,  C #,  SQL,  Systems Analysis and Design,  WCF"
Computerised Proj.Mngt - Ms Project 2007,"Microsoft Office,  Project Management Methodologies,  MS Projects 2003,  Problem Solving And Decision Making,  Quality Assurance,  Pmbok,  Business Proposals,  Sql Server & Relational Databases,  Programming Languages - C++"
National Diploma Engineering Mechanical,"Fabrication & Manufacturing,  Design Draughting,  SolidWorks Sheet Metal,  Microsoft Office,  AutoCAD Inventor"
National Senior Certificate,"Team Building Skills,  Microsoft Office,  Computer Skills,  Web Design,  Communication"
Business Administration And Secretarial       Proc,"Photo Developing,  Working With People"
Bachelor of Science  In Software Engineering,Cobol/Natural/Sql Programming
Bachelor of Science Computer Science,"Sql And Pl/Sql,  Oracle Database Administration,  Microsoft Office Xp,  Oracle Forms Developer"
National Certificate: Information Technology Systems Development NQF Level 5,"HTML/CSS,  Linux,  Wireless Planning,  PHP,  APACHE,  Systems design,  BASH,  ansible,  Ubunt"
Bachelor in Technology Degree in Multimedia Design,"UI/UX Design,  Responsive Design,  Good understanding of design principles,  Invision,  Responsive Development,  Adobe Photoshop,  HTML5,  CSS,  Adobe Illustrator"
Bachelor of Science ,"XML,  PL-SQL,  Oracle SOA,  XSLT,  XQUERY,  XPATH,  XSD,  WSDL,  SOAP"
Bachelor of Science  Honours in Computing,"Email &amp; Internet,  Qlikview,  Business Analysis,  Sage ERP,  Reporting,  Business Intelligence,  Microsoft Office,  Project Management,  Icdl - Internation Computer Drivers Licence"
Mechanical Engineering,"Java Development,  Product Conceptualising,  C Programming"
Matric,"Process design,  ERP system implementation,  Excel,  Operations Management,  Sales,  Stock Control,  Warehouse,  Accounting,  Customer Service Management"
Bachelor of Science . Computer Science,"Java Programming,  HTML,  C,  Windows 2000/Nt,  Cloudscape,  Hypersonic,  Uml Modeling,  Java Servlets,  Jboss Application Server Development"
Engineering: Computer Systems,"TIBCOBW,  Web services,  SQL Management,  TSQL,  EMS,  Tibco BPM,  Rest Services,  mySQL,  Network configuration skills"
Bachelor of Science  Computer Science,"JQUERY,  YII,  API,  JAVASCRIPT,  PHP,  MYSQL"
ITIL Foundation Certificate,"Applications software support and maintenance,  Microsoft Dynamics AX Functional analysis skills,  Process Improvement,  Ability to work in a team,  End user training,  Change Control Management,  Project Management,  Database Administration,  Corporater (EPM)"
Diploma in Multimedia Design and Production,"Wix,  Wordpress,  Logo Design,  Print,  Digital Design,  Illustration,  AdobeXD,  Corporate Identity,  Web Design"
National Diploma,"Magic 5.1 + 5.2a&C+5.6+5.7+7.1a, 8, 9,  Most Of Microsoft Packages,  Pl/Sql,  Unix,  Java"
Bachelor in Technology Information Technology,"Training Other People,  Overall It Understanding,  Soft Skills,  Site Content Management,  Innovation Capability Development,  Project Management,  People Management,  Presenation Skills,  Fascilitator"
Computer Science,"Performance Evaluations And Appraisals,  Ibm I-Series,  Business Systems Analysis And Design,  Process Re-Engineering And Work Flow,  Process And People Management,  Seagate Crystal Reports,  Procurement,  Management Information Reporting,  End-User Training"
Bachelor of Science  Computer Science and Informatics,"SSRS,  VB,  Requirement Gathering,  JAVA,  Business Analysis,  C#,  Business Intelligence,  SSIS,  HTML"
Master in Computer Science,"Researching,  Testing,  Debugging,  Coding,  BDD,  C/C++,  Formal Verification,  Unit testing,  C#"
Object Oriented Analysis And Design ,"Systems Analysis And Design,  Visual Basic,  Orable,  Java,  Active Server Pages,  C++,  MS SQL Server 2000,  Xml/Wml/Wap,  Networking"
Advanced Diploma Information resource management,"SQL,  CSS,  SAS,  MS Word,  MS Excel,  HTML,  MS PowerPoint,  Business Analysis,  Project Management"
Bachelor Of Science In Information Technology,"BPEL,  Oracle Java ADF,  ESB,  XML,  Oracle SOA,  XLST,  Oracle Soa,  Consultant In Barrick Gold Repositry System"
Business Analysis Diploma,"Documentum xCP,  Adobe development,  Adobe Development,  Documentum,  Documentum -Xcp,  JavaScript,  Microsoft Sql Server 2008,  C# .NET,  Business Analysis"
Microsoft technical course,"Computer programming,  C# Developer,  web designer,  C# programmer,  visual basic,  software development,  web Development,  html5,  Asp .NET"
Bachelor of Science  Computer Science & Information Technology,"Linux,  C / C++,  Java,  SQL,  C#.Net/Vb.Net"
Bachelor of Science  in Computer Systems,"Java Script Programming and Ajax,  Microsoft Test Manager,  Requirement analysis,  Coded UI Testing,  HP Unified Functional Tester 11.5,  Java Programming (Java SE7).,  \u2022,  HP Quality Centre 11,  Web Design with HTML5 and CSS3"
Bachelor of Science  Computer Science And Information  Technology,"solaris,  linux,  weblogic,  Linux/Unix,  apache tomcat,  C++,  Apache,  jboss,  Java"
Bachelor of Technology Software Development (Nqf7),"Sql Server,  Vb .NET,  C# .NET,  VB6,  Asp .NET,  ASP"
Bachelor in Computer Science,"Java,  Spring,  Gos,  Javascript,  Bootstrap,  HTML5"
Bachelor of Science  Honors,"React,  C#,  JavaScript,  ASP.NET MVC,  ASP.NET Web API,  HTML,  AngularJS,  CSS,  jQuery"
Electronics and Computer Engineering,"mssql,  C#,  vb .NET,  .NET,  jquery,  HTML CSS jquery,  Programming,  Mvc"
Advanced Level,"Web Server Administration,  MySQL Database,  E-Commerce,  PHP Programming,  Codeigniter,  HTML / CSS,  Linux Administration,  Microsoft Word,  Microsoft Publisher"
Project Management,"Google Analytics,  Mrtg,  Web Development,  Awstats,  Macromedia Fireworks,  A+ & N+,  Joomla,  Mx Freehand,  Word Press"
Bachelor in Technology Information Tecnology,"C#,  SAP Mobile Platform,  SQLite,  JAva,  VB.NEt,  ASP .NET,  MYSQL,  Ionic Framework,  Angularjs"
Bing Computer Engineering,"Winsock (Tcp & Udp),  C/C++,  Microsoft Visual C++,  Mysql,  C++ Builder (Borland),  Asterisk Soft Pbx System,  Networks (Ccna,  Ccnp)"
Bachelor of Technology in Informatics,"anaysis,  saas,  CSS3,  HTM5,  sql,  html,  HTML,  CSS,  MS Office"
Bachelor of Science in Information Technology,"jquery,  codeigniter,  bootstrap,  ajax,  microsoft business intelligence,  mysql,  sql server database administration,  xhtml,  php"
Bachelor of Science  General,"JQuery,  NodeJs,  MongoDB,  Javascript,  HTML,  AngularJs,  MySQL,  PhP,  CSS"
Bachelor of Science  Computer Science,"MS SQL SERVER,  DELPHI,  C++,  HTML,  JQUERY,  CSS,  XML,  JSON"
MSc Project Management,"Esri Arcgis,  Engineering And Land Surveying,  Gps,  Programming - Vb,  Vb .Net, C# C,  Pascal,  Cobol,  C++"
Computer Programming Diploma,"ADO,  Visual Basic,  Excell,  Access,  Sql Server,  Autocad,  HTML,  ASP"
Master Of Business Leadership (Mbl),General Management
Fundamentals of Human Resource,"Team Player,  Facilitation,  People Management,  Microsoft Office,  Assessments,  team player,  Good Organisation skills,  Shipshape,  Moderate learning"
Turbo Charged Leadership Engineering Programme,"Html,  Windows 98,  98se,  Me,  Xp,  Vista,  Frontpage 2000,  Xp, 2003"
Bachelor of Science Computer Science,"Typing,  Microsoft Office,  Data Capturing"
Java Programming Certificate,"Electrical installation,  Audio-Video production,  car audio installations,  appliance repairs,  audio productions,  electrical maintenance,  Java desktop Applications,  Live transmition,  Radio station technical"
Certificate in internet Marketing,"account managing,  interpersonal,  sales,  digital marketing,  admin,  assistant marketing,  marketing,  MS Office,  Visual Merchandise"
Oracle Certified Professional,"Oracl,  UNIX Administration,  Oracle Apps DBA,  Weblogic,  Oracle Fusion Middleware,  Oracle DBA,  Fusion DBA,  R12 DBA,  Oracle Goldengate"
Mcap,"Asp.Net,  Web Development,  OOP,  .Net Frame Work,  XML,  Software Development,  Management,  Menotring,  Software Release"
Bachelor of Science Informatics,"Crystal Reports,  Content Server Administration,  JavaScript,  .NET Framework,  Azure,  Sharepoint 2010 - 2013,  MS visio,  JQuery,  MS SQL Reporting"
Information Technology,"Microsoft End User Software Incl(Office),  Systems Development And Implementation,  Pc Support,  End User Training,  User Manuals,  Information Systems Analysis,  Project Leadership,  Access Database Development,  Visual Basic 6.0"
Bachelor of Technology Software Developemny,"C#,  CSS.HTML,  C++,  MYSQL,  SQL,  JavaScript,  HTML,  PHP,  ASP .NET"
Masters of Science Computer Science (Artificial Intelligence),"Driving - Driver Licence B,  Judo,  Classic Guitar,  Sky Diving - Solo"
Certificate In Outcome-Based Assessment,"Research Conductor,  Academic Development,  u""Graphic Design: LogoS,  Layout Design,  Photo Edit"",  2d Animator,  2d Animation,  Graphic Design,  Teaching On Tertiary Level"
Master of Science in Computer Science,"XML,  Object Oriented Design (UML),  Java,  MVC,  SQL,  PHP,  Java EE Design Patterns,  Git,  JavaScript"
Bachelor of Science ..Information Technology,"CSS3,  Html5,  JavaScript,  C# Programmer,  WordPress,  databases,  SEO,  Social Media Marketing,  jQuery"
Bachelor of Science  Electrical Engineering And Computer Science,"C/C++,  SQL,  Java,  C#,  VBA"
CERTIFIED JAVA SE6 DEVELOPER,"SQL Server,  Visual Studio,  C#,  WBXML,  Xcode,  visual studio,  Kanban,  Scrum,  Objective C"
M Phil (Personal And Professional Leadership),"Adult Basic Education And Training,  Learning Facilitation,  Instructional Design And Development,  Project Consultation,  Leadership Development (Personal And Professional),  Nqf-Alignment Of Learning,  Seta Accreditation Process,  Eq And Sq Development,  Coach And Mentor Development"
BachelorS Degree In Computer Science & Management,
Bachelor in Information Technology (4 Year),"ADO.Net,  C# .Net,  ASP.Net,  WCF,  XML,  CSS,  TSQL,  Html 4 / 5,  Javascript"
Bachelor of Commerce Management,"Microsoft Word,  Microsoft Access,  Microsoft Excel,  MS Power Point,  HTML,  Dreamweaver,  Mysql,  Visual Studio,  C# Programming"
Diploma Business Analysis,"Test Case execution,  Test Case creation,  Quality Center management,  Extract requirement,  Quality Center,  Sql Server,  Toad,  Analysis,  test case creation"
Dip Comp Sci,"Postilion,  General Eft Knowledge,  Sql Server 2000,  Heat,  Training,  Testing,  Bugtracker,  HTML,  Coldfusion"
National Diploma,"Microsift Excel, Word, Powerpoint"
NQF Level 6 Software Developmet,"Software Developer,  C#,  TOGAF 9.1 Certified,  ITIL Foundation,  System Analysis,  Solution Design,  Business Analysis"
NQF Level 5 System Support,"Programming,  Provide client support and technical issue resolution,  Identify and solve various IT related problems,  Configure client\u2019s equipment,  Configure software,  Problem solving,  programming,  system support,  network"
Prince2,"soap,  jboss,  html,  xsd,  java,  webservice,  Java, Html, Xsd"
SSIS - implementing and maintaining MS SQL server 2008,"Natural Adabas,  SQL,  TRelation,  Control-M,  ADASTRIP,  DB2,  COBOL,  SSIS,  TeraData"
Bachelor of computing,"VB.NET developing,  Technical documenting and Functional   specifications.,  SQL development,  Developing reports - reporting services (SSRS),  ASP.NET developing,  HTML,  C#,  PHP,  Java"
Bachelor of Science  Computer Science and Mathematics,"Team work,  interpersonal,  logical thinking and customer mind set skills,  Angular.js\nAndroid\nIonic (cross platform mobile development)\nSpring mvc/JEE\nJavaScript \nREST and SOAP\nResponsive web development \nTesting,  Agile \nJava\nJSP and JSF\nHtml \nCSS\n\nTest Driven Development \nCode refactoring \nFunctional and automated testing,  Ability to work under pressure \nInterpersonal skills"
Bachelor of Economics,"Chinese Language,  Asian Business Development,  Economical Data Analysis,  Statistical Software,  I.E. Stata; Eviews"
Software Developer,"Bootstrap,  .Net,  Laravel,  OOP,  Problem solving,  Technical Skills,  C#,  BI,  PhP"
